,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,length_diff_abs,token_count_old,token_count_new,token_overlap,old_in_new,new_in_old,levenshtein_distance,edit_distance_ratio,complete_replacement,structure_similarity,high_token_overlap,char_insertions,char_deletions,adjacent_char_swap,avg_word_similarity,has_significant_prefix,has_significant_suffix,full_cosine_similarity
1223,2038134074,48975,John Debney,q48975$1710FC9A-6607-4414-820D-F1FAB43B7F2A,,213,ISNI,"""0000 0001 2142 2112""",,"""0000000121422112""",,string,UPDATE,PROPERTY_VALUE,human,"American composer and conductor of film, television, and video game scores (born 1956)",,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.9952596
1230,1344628087,248224,LTV A-7 Corsair II,label,,-1,label,"""LTV A-7 Corsair II""",,"""A-7 Corsair II""",,string,UPDATE,PROPERTY_VALUE,"aircraft family, carrier-capable attack aircraft, monoplane with 1 engine",1967 attack aircraft family by Ling-Temco-Vought,,,unrefinement,"carrier-capable attack aircraft, monoplane with 1 engine",4,4,3,0.75,0,1,4,0.2222222222222222,0,0.75,0,0,3,0,3.9166666666666665,0,1,0.99432623
1231,4229918,60,New York City,description,,-2,description,"""a city in New York, US""",,"""a city in New York, USA""",,string,UPDATE,PROPERTY_VALUE,"big city, city, city in the state of New York, city in the United States, global city, largest city, megacity, metropolis, port city",most populous city in the United States,,,textual_change,,1,6,6,0.7142857142857143,1,0,1,0.043478260869565216,0,1.0,0,1,0,0,3.138888888888889,1,0,0.9992208
1233,236531271,62,San Francisco,description,,-2,description,"""combined city and county in California, United States""",,"""consolidated city-county in California, United States""",,string,UPDATE,PROPERTY_VALUE,"big city, charter city, charter city and county, city, city in the United States, consolidated city-county, sanctuary city","consolidated city and county in California, United States",,,"re_formatting, rewording",,0,8,6,0.4,0,0,12,0.22641509433962265,0,0.75,0,1,2,0,6.854166666666667,0,1,0.9974575
1234,1414702373,360359,Elias Howe,Q360359$e5d48bcf-4062-d70b-e43b-e5e7168b2dd5,,1559,name in native language,"""Elias Howe""",,"""Elias How""",,monolingualtext,UPDATE,PROPERTY_VALUE,human,American inventor (1819-1867),,,textual_change,,1,2,2,0.3333333333333333,0,1,1,0.1,0,1.0,0,0,1,0,2.75,1,0,0.97581804
1237,188964373,7156,FC Barcelona,description,,-2,description,"""Spanish association football club""",,"""ASOSASION FÚTBOL CLUB BARCELNA""",,string,UPDATE,PROPERTY_VALUE,"men's association football club, men's association football team, professional sports team, representation team","multisports club in Barcelona, Spain",,,property_value_update,,3,4,4,0.0,0,0,24,0.7272727272727273,1,1.0,0,24,29,0,8.375,0,0,0.9478779
1238,2056959450,175106,Tim Hortons,Q175106$8e1efca4-4f23-5a90-a400-32f3f9fa04a7,,2013,Facebook username,"""TimHortonsUS""",,"""TimHortons""",,string,UPDATE,PROPERTY_VALUE,"business, public company, restaurant chain",Canadian multinational quick-service restaurant chain,,,unrefinement,,2,1,1,0.0,0,1,2,0.16666666666666666,0,1.0,0,0,2,0,2.0,1,0,0.9920335
1241,2240168282,74182,Ursula Karven,Q74182$4F1986EC-3624-4406-A967-100469F4EC15,,18,image,"""MJK 60829 Ursula Karven (Hessischer Film- und Kinopreis 2019).jpg""",,"""Ursula Karven - 2018082195029 2018-03-23 Radio Regenbogen Award 2018 - Sven - 1D X MK II - 0792 - AK8I0523 (cropped).jpg""",,string,UPDATE,PROPERTY_VALUE,human,German actress and author,,,property_value_update,,55,9,21,0.08333333333333333,0,0,93,0.775,0,0.4285714285714286,0,18,6,0,7.169312169312169,0,1,0.96673715
1245,1788179287,99736341,Template:Taxonomy/Macropharynx,description,,-2,description,"""Taxonomy template""",,"""taxonomy template""",,string,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0,2,2,0.3333333333333333,0,0,0,0.0,0,1.0,0,0,1,0,4.0,0,1,0.9758861
1248,1260684691,284779,At-Ta'i,description,,-2,description,"""Abbasid caliph""",,"""Abbasid caliph (932-1003)""",,string,UPDATE,PROPERTY_VALUE,human,Abbasid caliph (932-1003),,,refinement,,11,2,3,0.6666666666666666,1,0,11,0.44,0,0.6666666666666667,0,10,0,0,5.333333333333333,1,0,0.9815998
1256,271842838,158043,Merneptah,description,,-2,description,"""Egyptian pharoah""",,"""Egyptian pharaoh""",,string,UPDATE,PROPERTY_VALUE,human,fourth pharaoh of the 19th Dynasty of Egypt,,,textual_change,,0,2,2,0.3333333333333333,0,0,2,0.125,0,1.0,0,0,0,1,4.25,1,0,0.9838722
1257,2038312706,90299,Eduard Baumstark,q90299$4CCBAFB4-5C29-4251-B892-50685E271893,,213,ISNI,"""0000 0001 0956 5110""",,"""0000000109565110""",,string,UPDATE,PROPERTY_VALUE,human,German economist (1807-1889),,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.99190724
1261,643289802,327930,Vigo di Fassa,description,,-2,description,"""Italian comune""",,"""fromer italian comune""",,string,UPDATE,PROPERTY_VALUE,"abolished municipality in Italy, cadastral municipality, frazione",former Italian comune,,,refinement,,7,2,3,0.25,0,0,7,0.3333333333333333,0,0.6666666666666667,0,3,1,0,4.5,0,1,0.9962101
1263,1678150592,225,Bosnia and Herzegovina,description,,-2,description,"""country in southeastern Europe""",,"""Country in Southeast Europe""",,string,UPDATE,PROPERTY_VALUE,"constitutional republic, country, Mediterranean country, sovereign state",country in Southeast Europe,,,"textual_change, re_formatting",,3,4,4,0.3333333333333333,0,0,3,0.1,0,1.0,0,2,1,0,5.875,0,1,0.99552613
1271,2069763328,5088093,Chaudhry Altaf Hussain,description,,-2,description,"""Pakistani politician (1929-1995)""",,"""Pakistani politician""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,12,3,2,0.6666666666666666,0,1,12,0.375,0,0.6666666666666667,0,0,11,0,6.333333333333333,1,0,0.9565275
1278,2039819473,293679,Alwaleed Bin Talal Bin Abdulaziz Al Saud,Q293679$2EE1B086-6A9A-44A6-A75E-C8E09FFA57BF,,213,ISNI,"""0000 0000 0243 3281""",,"""0000000002433281""",,string,UPDATE,PROPERTY_VALUE,human,"Saudi Arabian businessman, investor and royal",,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.98973936
1279,158211952,249416,Coming Home,label,,-1,label,"""Coming Home (2012 film)""",,"""Coming Home""",,string,UPDATE,PROPERTY_VALUE,film,2012 film directed by Frédéric Videau,,,unrefinement,,12,4,2,0.5,0,1,12,0.5217391304347826,0,0.5,0,0,8,0,3.625,1,0,0.99016446
1291,2039693528,214532,Heinz Krekeler,Q214532$E84BA5E7-72E4-4023-BE27-0BBF4DC53B94,,213,ISNI,"""0000 0003 8299 731X""",,"""000000038299731X""",,string,UPDATE,PROPERTY_VALUE,human,German diplomat (1906-2003),,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.98691285
1306,691843595,466206,April 2005,description,,-2,description,"""month""",,"""month of 2005""",,string,UPDATE,PROPERTY_VALUE,"April, calendar month of a given year, month starting on Friday",month of 2005,,,refinement,,8,1,3,0.3333333333333333,1,0,8,0.6153846153846154,0,0.33333333333333337,0,7,0,0,3.0,1,0,0.9864418
1308,621544389,219491,Arrigo Boito,description,,-2,description,"""Italian opera composer and librettist of Verdi's opera Otello""",,"""Italian opera composer and librettist of Verdi's opera ''Otello''""",,string,UPDATE,PROPERTY_VALUE,human,Italian poet and opera composer and librettist of Verdi's opera ''Otello'' (1842-1918),,,re_formatting,,4,9,9,0.7777777777777778,0,0,4,0.06153846153846154,0,1.0,0,0,0,0,6.08641975308642,1,0,0.9979852
1315,2106752099,200117,in vitro fertilization,description,,-2,description,"""assisted reproductive technology procedure (ART) in which a women’s eggs are fertilized by sperm in a laboratory instead of inside the fallopian tube (in –vivo)""",,"""assisted reproductive technology procedure (ART)""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,"assisted reproductive technology, fertilization",112,25,5,0.21739130434782608,0,1,112,0.7,0,0.19999999999999996,0,0,13,0,8.112,1,0,0.96782666
1321,599498998,43876437,"Sir John Croft, 4th Baronet",description,,-2,description,"""M, #324815, b. 30 May 1910, d. 1979""",,"""b. 30 May 1910, d. 1979""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,12,8,6,0.75,0,1,12,0.34285714285714286,0,0.75,0,0,5,0,3.4375,0,1,0.9885566
1322,1646800326,256580,Gian Gastone de' Medici,Q256580$55BA59A0-49F2-49FD-9A41-CB26255EEB7C,,94,coat of arms image,"""Coat of arms of the Grand Duchy of Tuscany (1562-1737) - type 2.svg""",,"""Coat of Arms of the Grand duchy of Tuscany.svg""",,string,UPDATE,PROPERTY_VALUE,human,last Medici Grand Duke of Tuscany (1671-1737),,,unrefinement,,21,13,9,0.2857142857142857,0,0,21,0.31343283582089554,0,0.6923076923076923,0,1,15,0,4.871794871794871,1,1,0.9909383
1325,1444389228,69529,Bernhard Karl von Koehne,description,,-2,description,"""Russian numismaticist""",,"""Russian numismatist""",,string,UPDATE,PROPERTY_VALUE,human,Russian numismatist (1817 – 1887),,,textual_change,,2,2,2,0.3333333333333333,0,0,2,0.09523809523809523,0,1.0,0,0,1,0,5.0,1,1,0.9920204
1334,2268458822,92016,Hermann Billing,description,,-2,description,"""German architect""",,"""German architect (1867–1946)""",,string,UPDATE,PROPERTY_VALUE,human,German architect (1867–1946),,,refinement,,12,2,3,0.6666666666666666,1,0,12,0.42857142857142855,0,0.6666666666666667,0,11,0,0,6.666666666666667,1,0,0.99413013
1337,20297963,241923,Joan Beaufort,label,,-1,label,"""Joan Beaufort, Queen of Scots""",,"""Joan Beaufort""",,string,UPDATE,PROPERTY_VALUE,human,Queen Consort of Scotland from 1424 to 1437,,,unrefinement,,16,5,2,0.16666666666666666,0,1,16,0.5517241379310345,0,0.4,0,0,5,0,4.8,1,0,0.99166644
1339,182353509,195522,Ahmad Zahir,label,,-1,label,"""Ahmad Zahir""",,"""Ahmad Zahirrr""",,string,UPDATE,PROPERTY_VALUE,human,Afghan singer (1946-1979),,,textual_change,,2,2,2,0.3333333333333333,1,0,2,0.15384615384615385,0,1.0,0,0,0,0,3.25,1,0,0.99377346
1347,128161051,43332,Pompeii,label,,-1,label,"""Pompeii""",,"""Pompeii 1""",,string,UPDATE,PROPERTY_VALUE,"ancient city, archaeological site","ancient Roman city near modern Naples, Italy",,,refinement,,2,1,2,0.5,1,0,2,0.2222222222222222,0,0.5,0,2,0,0,3.5,1,0,0.9901978
1350,1935464538,111223170,Bilingual education policy as political spectacle: educating Latino immigrant youth in New York City,description,,-2,description,"""scientific article published on 07 March 2011""",,"""scientific article published on 7 March 2011""",,string,UPDATE,PROPERTY_VALUE,scholarly article,scientific article published on 7 March 2011,,,re_formatting,,1,7,7,0.75,0,0,1,0.022222222222222223,0,1.0,0,0,0,0,6.122448979591836,1,1,0.9994904
1351,2353475040,111223504,Albert Charles Silberling,description,,-2,description,"""paleontologist (1883-1951)""",,"""homesteader and paleontologist (1883-1951)""",,string,UPDATE,PROPERTY_VALUE,human,homesteader and paleontologist (1883-1951),,,refinement,,16,2,4,0.5,1,0,16,0.38095238095238093,0,0.5,0,5,0,0,9.25,0,1,0.9874474
1354,341821466,242002,Sverre Fehn,Q242002$FEF3449E-EF58-4804-A875-7E8A4751CE3D,,1015,NORAF ID,"""x90349918""",,"""90349918""",,string,UPDATE,PROPERTY_VALUE,human,Norwegian architect (1924-2009),,,re_formatting,,1,1,1,0.0,0,1,1,0.1111111111111111,0,1.0,0,0,1,0,1.0,0,1,0.99282426
1358,1401815411,301864,Vikki Carr,description,,-2,description,"""American recording artist; singer, actress""",,"""Mexican-American recording artist; singer, actress""",,string,UPDATE,PROPERTY_VALUE,human,"Mexican-American recording artist; singer, actress",,,refinement,,8,5,5,0.6666666666666666,1,0,8,0.16,0,1.0,0,3,0,0,7.0,0,1,0.99466056
1359,558743366,5091621,Cheong Soo Pieng,description,,-2,description,"""Painter from Singapore""",,"""painter from Singapore""",,string,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0,3,3,0.5,0,0,0,0.0,0,1.0,0,0,1,0,5.0,0,1,0.9873121
1361,1879139326,424134,ω-meson,description,,-2,description,"""type of quantum particle""",,"""flavorless vector meson formed from a superposition of an up quark–antiquark and a down quark–antiquark pair""",,string,UPDATE,PROPERTY_VALUE,"type of quantum particle, vector meson",flavorless vector meson formed from a superposition of an up quark–antiquark and a down quark–antiquark pair,,,refinement,vector meson,84,4,16,0.058823529411764705,0,0,90,0.8333333333333334,0,0.25,0,17,1,0,6.59375,0,0,0.98086226
1380,1984,142,France,description,,-2,description,"""European country""",,"""A country in Europe.""",,string,UPDATE,PROPERTY_VALUE,"colonial power, country, Mediterranean country, republic, sovereign state","country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",,,rewording,,4,2,4,0.2,0,0,17,0.85,0,0.5,0,3,1,0,5.625,0,0,0.9886695
1382,2306837382,111220539,SuGuoXian Memorial Park,description,,-2,description,"""A memorial park in Gongliao District, New Taipei, Taiwan.""",,"""memorial park in Gongliao District, New Taipei, Taiwan""",,string,UPDATE,PROPERTY_VALUE,memorial park,"memorial park in Gongliao District, New Taipei, Taiwan",,,re_formatting,,3,9,8,0.7,0,1,3,0.05263157894736842,0,0.8888888888888888,0,0,2,0,5.75,0,0,0.99022603
1387,71152976,1312,spring,description,,-2,description,"""seasons, between winter and summer""",,"""season, between winter and summer""",,string,UPDATE,PROPERTY_VALUE,"recurring event, season","one of the Earth's four temperate seasons, occurring between winter and summer",,,re_formatting,season,1,5,5,0.6666666666666666,0,0,1,0.029411764705882353,0,1.0,0,0,0,0,4.84,1,1,0.99786043
1393,1485604227,238233,"Marie-Aglaë, Princess of Lichtenstein",Q238233$95a924bf-40a7-870f-a267-b7c393398031,,1477,birth name,"""Countess Marie Kinsky von Wchinitz und Tettau""",,"""Marie Kinsky von Wchinitz und Tettau""",,monolingualtext,UPDATE,PROPERTY_VALUE,human,Consort of Liechtenstein (1989-2021),,,unrefinement,,9,7,6,0.8571428571428571,0,1,9,0.2,0,0.8571428571428572,1,0,1,0,5.166666666666667,0,1,0.9917993
1397,1666634869,111219246,Laishui,description,,-2,description,"""A river in Hebei""",,"""river in Hebei""",,string,UPDATE,PROPERTY_VALUE,river,river in Hebei,,,re_formatting,,2,4,3,0.75,0,1,2,0.125,0,0.75,0,0,1,0,3.1666666666666665,0,1,0.9902861
1411,21832222,1553,Nebraska,description,,-2,description,"""A state in the US Midwest""",,"""state of the United States of America""",,string,UPDATE,PROPERTY_VALUE,U.S. state,state of the United States of America,,,unrefinement,,12,6,7,0.2,0,0,24,0.6486486486486487,0,0.8571428571428572,0,7,2,0,4.357142857142857,0,0,0.9640765
1413,1667352435,200779,genetic disease,description,,-2,description,"""disease that has material basis in genetic variations in the human genome""",,"""Health problem caused by one or more abnormalities in the genome""",,string,UPDATE,PROPERTY_VALUE,"class of disease, disease, hereditary disorder",health problem caused by one or more abnormalities in the genome,,,rewording,"disease, hereditary disorder",9,12,11,0.15789473684210525,0,0,47,0.6438356164383562,0,0.9166666666666666,0,3,1,0,5.704545454545454,0,1,0.9773993
1426,1833781473,828,Americas,description,,-2,description,"""landmass comprising the continents of North America and South America""",,"""North America and South America taken together as a single continent or landmass""",,string,UPDATE,PROPERTY_VALUE,"continent, part of the world, supercontinent",North America and South America taken together as a single continent or landmass,,,rewording,,11,10,13,0.3125,0,0,61,0.7625,0,0.7692307692307692,0,1,2,0,5.884615384615385,0,0,0.9839231
1427,2259767390,329866,Abraham Cohen de Herrera,q329866$5722a76e-4ee6-58f6-1330-30eb6c080035,,6394,ELNET ID,"""a11444563""",,"""11444563""",,string,UPDATE,PROPERTY_VALUE,human,Jewish philosopher (1570–1635),,,re_formatting,,1,1,1,0.0,0,1,1,0.1111111111111111,0,1.0,0,0,1,0,1.0,0,1,0.9942698
1435,2279881809,2982723,collapse therapy,label,,-1,,"""artificial pneumothorax""",,"""collapse therapy""",,string,UPDATE,PROPERTY_VALUE,,,,,property_value_update,"thoracoplasty, tuberculosis management",7,2,2,0.0,0,0,16,0.6956521739130435,1,1.0,0,2,8,0,9.75,0,0,0.9330489
1436,969784195,454812,medical jurisprudence,description,,-2,description,"""branch of medicine that deals with application of medical knowledge to aid in the administration and furthering of justice.""",,"""field of medicine that involves collection and analysis of medical evidence to produce objective information for use in the legal system""",,string,UPDATE,PROPERTY_VALUE,"forensic science, jurisprudence, medical specialty, medicine",branch of science and medicine,,,rewording,"forensic science, jurisprudence, medicine",13,19,21,0.27586206896551724,0,0,78,0.5735294117647058,0,0.9047619047619048,0,6,4,0,6.348370927318296,0,0,0.98585135
1438,236809259,99,California,description,,-2,description,"""state of the United States of America""",,"""state of California, United States""",,string,UPDATE,PROPERTY_VALUE,U.S. state,state of the United States of America,,,refinement,,3,7,5,0.5714285714285714,0,0,22,0.5945945945945946,0,0.7142857142857143,0,3,4,0,5.314285714285714,1,0,0.98804975
1442,992466766,18521,Macclesfield Town F.C.,description,,-2,description,"""English association football club""",,"""association football club in Macclesfield, England""",,string,UPDATE,PROPERTY_VALUE,defunct association football club,"defunct association football club in Macclesfield, England",,,"refinement, rewording",,17,4,6,0.42857142857142855,0,0,33,0.66,0,0.6666666666666667,0,6,1,0,7.291666666666667,0,0,0.9964447
1448,998194626,19843734,Caroline Guiela Nguyen,description,,-2,description,"""French playqright and theatre director""",,"""French playright and theatre director""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,1,5,5,0.6666666666666666,0,0,1,0.02631578947368421,0,1.0,0,0,1,0,5.8,1,1,0.9834896
1449,728113915,19863017,Crazy Ex-Girlfriend,description,,-2,description,"""televisionseries""",,"""television series""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,1,1,2,0.0,0,0,1,0.058823529411764705,1,0.5,0,1,0,0,8.0,1,1,0.9505546
1451,2095534001,334996,Takuya Iwanami,Q334996$E3F66821-F20D-4552-B33D-41392ED1FFDE,,2369,Soccerway player ID,"""-/193105""",,"""193105""",,string,UPDATE,PROPERTY_VALUE,human,Japanese association football player,,,re_formatting,,2,1,1,0.0,0,1,2,0.25,0,1.0,0,0,2,0,2.0,0,1,0.9937184
1452,8723,72,Zurich,description,,-2,description,"""Not the Capital city of Switzerland!""",,"""Not the Capital city of Switzerland! Capital city of the canton of Zurich""",,string,UPDATE,PROPERTY_VALUE,"big city, cantonal capital of Switzerland, city of Switzerland, college town, largest city, municipality of Switzerland","capital of the canton of Zurich, Switzerland",,,refinement,,37,6,13,0.75,1,0,37,0.5068493150684932,0,0.46153846153846156,0,2,0,0,5.230769230769231,1,0,0.9963386
1456,9395432,1055,Hamburg,description,,-2,description,"""German city""",,"""city and state in Germany""",,string,UPDATE,PROPERTY_VALUE,"big city, city-state, federated state of Germany, free imperial city, Hanseatic city, metropolis, port city, Unitary municipality in Germany, urban district of Hamburg, urban municipality in Germany",city and state in the North of Germany,,,"refinement, rewording",,14,2,5,0.16666666666666666,0,0,20,0.8,0,0.4,0,2,0,0,4.0,0,0,0.9981332
1458,231044531,212564,Colombia men's national football team,Q212564$18A71534-9988-4C90-B7B6-03699ABBB448,,646,Freebase ID,"""/m/032c08255""",,"""/m/032c08""",,string,UPDATE,PROPERTY_VALUE,men's national association football team,men's national football team representing Colombia,,,unrefinement,,3,1,1,0.0,0,1,3,0.25,0,1.0,0,0,2,0,3.0,1,0,0.99691486
1460,376942,11888,list of castles in Portugal by region,label,,-1,label,"""List of castles in Portugal by regio""",,"""List of castles in Portugal by region""",,string,UPDATE,PROPERTY_VALUE,Wikimedia list article,Wikimedia list article,,,textual_change,,1,7,7,0.75,1,0,1,0.02702702702702703,0,1.0,0,0,0,0,4.63265306122449,1,0,0.98296756
1463,7290269,458,European Union,description,,-2,description,"""union of 27 states mostly located in Europe""",,"""political union of 27 states mostly located in Europe""",,string,UPDATE,PROPERTY_VALUE,"confederation, political economic union, regional organization, supranational union",political and economic union of 27 European states,,,refinement,,10,8,9,0.8888888888888888,1,0,10,0.18867924528301888,0,0.8888888888888888,1,0,0,0,4.944444444444445,0,1,0.99470776
1465,2273157353,15756,Dmitry Pozharsky,Q15756$4a0f74f2-4ab0-cadb-d3f4-8625190eaa0e,,1477,birth name,"""Дми́трий Миха́йлович Пожа́рский""",,"""Дмитрий Михайлович Пожарский""",,monolingualtext,UPDATE,PROPERTY_VALUE,human,Rurikid prince (1577-1642),,,property_value_update,,3,3,3,0.0,0,0,3,0.0967741935483871,1,1.0,0,0,3,0,5.888888888888889,1,1,0.9953983
1466,108244690,4610,decapods,label,,-1,label,"""decapod""",,"""Decapoda""",,string,UPDATE,PROPERTY_VALUE,taxon,order of crustaceans,,,textual_change,,1,1,1,0.0,0,0,1,0.125,1,1.0,0,1,0,0,2.0,0,0,0.9870931
1469,1484610172,12297,Villarreal CF,description,,-2,description,"""Spanish association football club""",,"""football club based in Vila-real, Spain""",,string,UPDATE,PROPERTY_VALUE,"association football club, professional sports team","association football club in Villarreal, Spain",,,"refinement, rewording",,6,4,6,0.25,0,0,32,0.8205128205128205,0,0.6666666666666667,0,7,1,0,6.791666666666667,0,0,0.9860442
1485,472893711,308911,Avianca,Q308911$08A6AD1F-583A-40E7-8A30-B8C29AD8898C,,154,logo image,"""Avianca Logo 2013.png""",,"""Logo avianca.png""",,string,UPDATE,PROPERTY_VALUE,"airline, subsidiary",Colombian airline,,,"unrefinement, rewording",,5,3,2,0.25,0,0,15,0.7142857142857143,0,0.6666666666666667,0,0,5,0,6.333333333333333,0,1,0.9909733
1486,207864903,1291,Bron,description,,-2,description,"""French commune""",,"""commune in Rhône, France""",,string,UPDATE,PROPERTY_VALUE,commune of France,French commune in Rhône,,,"refinement, rewording",,10,2,4,0.2,0,0,19,0.7916666666666666,0,0.5,0,5,0,0,4.625,0,0,0.9768859
1489,457152425,48954,York City F.C.,description,,-2,description,"""English association football club""",,"""professional association football club based in the city of York, North Yorkshire, England""",,string,UPDATE,PROPERTY_VALUE,association football club,"association football club in Huntington, England",,,"refinement, rewording",,57,4,13,0.21428571428571427,0,0,63,0.7,0,0.3076923076923077,0,20,0,0,7.173076923076923,0,0,0.9854044
1490,1733008052,31890427,Törners fireworks laboratory,description,,-2,description,"""company for making fireworks""",,"""factory for making fireworks""",,string,UPDATE,PROPERTY_VALUE,,,,,rewording,,0,4,4,0.6,0,0,6,0.21428571428571427,0,1.0,0,1,1,0,5.3125,0,1,0.96176815
1499,8063294,2887,Santiago,description,,-2,description,"""Capital of Chile""",,"""capital city of Chile""",,string,UPDATE,PROPERTY_VALUE,"big city, city in Chile, global city, largest city",capital city of Chile,,,"re_formatting, refinement",,5,3,4,0.4,0,0,5,0.23809523809523808,0,0.75,0,3,0,0,4.083333333333333,0,1,0.9973743
1508,242537508,467887,Iberodorcadion fuliginator,description,,-2,description,"""species of beetle""",,"""species of insect""",,string,UPDATE,PROPERTY_VALUE,taxon,species of beetle,,,unrefinement,,0,3,3,0.5,0,0,6,0.35294117647058826,0,1.0,0,1,2,0,4.777777777777778,1,0,0.9863928
1510,2019492128,43894898,Eyehope,description,,-2,description,"""other organization in London, United Kingdom""",,"""organization in London, United Kingdom""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,6,6,5,0.8333333333333334,0,1,6,0.13636363636363635,0,0.8333333333333334,1,0,1,0,5.9,0,1,0.98368335
1520,1047379725,313673,John Wyndham,Q313673$16D3B426-73FC-4812-AB14-89EFDF67E801,,2191,Vegetti Catalog of Fantastic Literature NILF ID,"""NILF15772""",,"""15772""",,string,UPDATE,PROPERTY_VALUE,human,English science fiction author (1903–1969),,,re_formatting,,4,1,1,0.0,0,1,4,0.4444444444444444,0,1.0,0,0,4,0,4.0,0,1,0.9929989
1523,3447519,10035,De Bilt,description,,-2,description,"""a municipality in the Netherlands""",,"""municipality in the Netherlands""",,string,UPDATE,PROPERTY_VALUE,municipality of the Netherlands,municipality in the Netherlands,,,re_formatting,,2,5,4,0.8,0,1,2,0.06060606060606061,0,0.8,0,0,0,0,6.8,0,1,0.99598014
1531,1593446403,111222710,Sex Crime,description,,-2,description,"""American synth punk band""",,"""American synth-punk band""",,string,UPDATE,PROPERTY_VALUE,musical group,American synth-punk band,,,re_formatting,,0,4,3,0.4,0,0,1,0.041666666666666664,0,0.75,0,1,0,0,5.5,1,1,0.9945415
1533,2259747090,88439,Heinz Werner,q88439$a15774a1-4cae-4ecc-04a9-ee57a0993a57,,6394,ELNET ID,"""a12306605""",,"""12306605""",,string,UPDATE,PROPERTY_VALUE,human,Austrian psychologist (1890–1964),,,re_formatting,,1,1,1,0.0,0,1,1,0.1111111111111111,0,1.0,0,0,1,0,1.0,0,1,0.9924962
1535,16332362,199,1,description,,-2,description,"""represents a single entity""",,"""number representing a single entity""",,string,UPDATE,PROPERTY_VALUE,"automorphic number, centered cube number, centered decagonal number, centered dodecahedral number, centered heptagonal number, centered hexagonal number, centered icosahedral number, centered nonagonal number, centered octagonal number, centered octahedral number, centered pentachoric number, centered pentagonal number, centered square number, centered tetrahedral number, centered triangular number, coherent SI unit, cube, decagonal number, dimensionless unit, dodecagonal number, dodecahedral number, eighth power, Fibonacci number, fifth power, fourth power, harshad number, heptagonal number, heptagonal pyramidal number, hexagonal number, hexagonal pyramidal number, icosahedral number, Mersenne number, Motzkin number, multiplicative identity, ninth power, nonagonal number, non-negative integer, octagonal number, odd number, pentagonal number, pentagonal pyramidal number, pentatope number, positive integer, power of 10, power of 1000, power of two, repunit, seventh power, sixth power, square number, square pyramidal number, square triangular number, star number, stella octangula number, tetrahedral number, triangular number, trimorphic number, unit, unit of amount",natural number one,,,refinement,,9,4,5,0.5,0,0,10,0.2857142857142857,0,0.8,0,3,0,0,6.15,0,1,0.9999998
1539,1087640366,9364,Jean-Paul Sartre,Q9364$9cd2f77e-4b19-ebb7-5f1f-71d17c0c93cd,,742,pseudonym,"""Jacques Guillemin""",,"""Jacques Guillemi""",,string,UPDATE,PROPERTY_VALUE,human,French existentialist philosopher (1905–1980),,,textual_change,,1,2,2,0.3333333333333333,0,1,1,0.058823529411764705,0,1.0,0,0,1,0,4.0,1,0,0.991627
1540,189597139,1744,Madonna,description,,-2,description,"""singer, songwriter, and actress from the USA""",,"""American singer, songwriter, and actress""",,string,UPDATE,PROPERTY_VALUE,human,"American singer, songwriter, and actress (born 1958)",,,rewording,,4,7,5,0.5,0,0,22,0.5,0,0.7142857142857143,0,0,4,0,6.171428571428572,0,0,0.9930041
1541,1105387371,128220,The Jezabels,description,,-2,description,"""Austalian rock band""",,"""Australian rock band""",,string,UPDATE,PROPERTY_VALUE,musical group,Australian indie rock band,,,textual_change,,1,3,3,0.5,0,0,1,0.05,0,1.0,0,0,0,0,4.888888888888889,1,1,0.99078345
1543,2181757886,111218853,Mood,description,,-2,description,"""british series""",,"""British series""",,string,UPDATE,PROPERTY_VALUE,television series,British series,,,re_formatting,,0,2,2,0.3333333333333333,0,0,0,0.0,0,1.0,0,1,1,0,2.75,0,1,0.9894566
1544,1881941697,372599,Sivasspor,Q372599$3d71bcbd-49ff-304b-fc33-926720e6c288,,2002,X (Twitter) username,"""SivassporKulubu""",,"""Sivasspor""",,string,UPDATE,PROPERTY_VALUE,association football club,Turkish professional football club,,,unrefinement,,6,1,1,0.0,0,1,6,0.4,0,1.0,0,0,6,0,6.0,1,0,0.98916954
