,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,date_diff_days,sign_change,change_one_to_zero,change_one_to_value,change_zero_to_one,day_added,day_removed,month_added,month_removed,full_cosine_similarity
1014,471363151,328007,Aleksei Dikiy,Q328007$E7BC7410-9324-480F-B162-E84B996FF75B,,569,date of birth,"""+1889-02-24T00:00:00Z""",,"""+1889-02-12T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Russian and Soviet actor and theatre director (1889–1955),,,property_value_update,,12,0,0,0,0,0,0,0,0,0.9983132
1015,622312204,139567,Zacharias Rhetor,Q139567$EBA3B126-7C47-4C7D-8F49-D8BACFB4400A,,570,date of death,"""+553-01-01T00:00:00Z""",,"""+553-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,5th–6th century Bishop of Mytilene,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.99557817
1016,2337995697,133820557,Teresa Parejo,Q133820557$aa786541-437c-b270-b178-23f9575d279d,,569,date of birth,"""+1972-08-26T00:00:00Z""",,"""+1972-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,269,0,0,0,0,0,1,0,1,0.98608303
1018,149630297,355768,Quintus Caecilius Metellus Macedonicus,Q355768$6148A330-E1B1-4B0B-AE8F-F9CBF7853BA5,,570,date of death,"""+115-01-01T00:00:00Z""",,"""-115-01-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,ancient Roman statesman and general,,,re_formatting,,84007,1,0,0,0,0,0,0,0,0.99720466
1019,760746748,214495,Bamyan,Q214495$B4795103-BB8E-4732-A5EE-00869F3698C7,,571,inception,"""+2800-00-00T00:00:00Z""",,"""-2800-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,city,"city in Bamyan Province, Afghanistan",,,re_formatting,,2045400,1,0,0,0,0,0,0,0,0.9924046
1022,1133831574,171291,Ötzi,Q171291$E0DAA25C-4143-4925-8879-04FEE7A343FA,,570,date of death,"""-3300-00-00T00:00:00Z""",,"""-3255-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,well-preserved natural prehistoric mummy,,,property_value_update,,16436,0,0,0,0,0,0,0,0,0.9918359
1026,1904981154,390188,Greg Howard,Q390188$789D3CC8-78D6-4832-AC96-57C1EC6E2A64,,569,date of birth,"""+1964-01-01T00:00:00Z""",,"""+1964-07-26T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,American musician (1964–2023),,,refinement,,207,0,0,1,0,1,0,1,0,0.99638474
1027,718352366,133641,Age of Discovery,Q133641$2bd4e0d1-47d6-ac80-dc4f-80ec8835a648,,582,end time,"""+1700-00-00T00:00:00Z""",,"""+1800-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"age, historical period",period of European global exploration from early 15th century to 17th century,,,property_value_update,,36525,0,0,0,0,0,0,0,0,0.9974319
1029,784048177,218038,RCA Corporation,Q218038$a88708d6-45a0-ad55-8438-4292df51a391,,571,inception,"""+1969-00-00T00:00:00Z""",,"""+1919-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,business,defunct American electronics company,,,property_value_update,,18262,0,0,0,0,0,0,0,0,0.9930605
1033,2133240531,345687,Baldwin V of Jerusalem,Q345687$6DB83105-D169-4480-9D50-92A6F91F96A7,,570,date of death,"""+1186-08-01T00:00:00Z""",,"""+1186-08-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,King of Jerusalem (1177-1186) (r. 1185-1186),,,re_formatting,,1,0,1,0,0,0,1,0,0,0.9979253
1038,1988348060,385423,Ninohe Station,Q385423$429FF069-8C16-4A07-B70A-E370BE870CFA,,1619,date of official opening,"""+1890-01-01T00:00:00Z""",,"""+1891-12-20T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,", interchange station, overtaking station, over-track railway station, railway station, railway station above ground","railway station in Ninohe, Iwate prefecture, Japan",,,property_value_update,,718,0,0,0,0,1,0,1,0,0.99745464
1039,1365015212,193042,Thomas Newcomen,Q193042$ba58540d-4570-4833-8d1a-70e7257d23db,,569,date of birth,"""+1956-03-01T00:00:00Z""",,"""+1663-02-24T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"English inventor, ironmonger and Baptist lay preacher (1664-1729)",,,property_value_update,,107071,0,0,0,0,1,0,0,0,0.99592626
1044,872161790,183279,Zhores Alferov,Q183279$e8dd2e5c-4faa-58f4-17bd-d73a8618b24d,,570,date of death,"""+2019-03-02T00:00:00Z""",,"""+2019-03-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Soviet-Russian physicist (1930–2019),,,property_value_update,,1,0,0,0,0,0,0,0,0,0.9964357
1046,1882885964,192706,William Gilbert,q192706$DAE3A207-5350-4C55-A951-222BA412CAFC,,570,date of death,"""+1890-11-30T00:00:00Z""",,"""+1603-11-30T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"English physician, physicist and natural philosopher (1544-1603)",,,property_value_update,,104826,0,0,0,0,0,0,0,0,0.99409604
1047,211854304,302,Jesus,Q302$d5a98a35-4295-636f-93e7-757aa2b9d399,,569,date of birth,"""-2-01-01T00:00:00Z""",,"""+1-03-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"deity, God in Christianity, historical character, human, human biblical figure, human whose existence is disputed, legendary figure, mythical character, Quranic character, Salvator Mundi",central figure of Christianity (6 or 4 BC – AD 30 or 33),,,property_value_update,,1156,0,0,0,0,0,1,1,0,0.99767065
1049,252155695,72526,Theodor Bergmann,Q72526$01B35751-B3BC-4F81-9AC1-13C7232BCCBB,,570,date of death,"""+1931-01-01T00:00:00Z""",,"""+1931-03-23T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,German businessman (1850–1931),,,refinement,,82,0,0,1,0,1,0,1,0,0.99709046
1050,1464110805,152888,Fay Bainter,Q152888$467252CB-C89A-4AB2-AE6B-900A0E8ED66F,,2031,work period (start),"""+1910-00-00T00:00:00Z""",,"""+1899-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,American actress (1893–1968),,,property_value_update,,4017,0,0,0,0,0,0,0,0,0.99351573
1053,542950432,433161,Margaret Douglas,Q433161$A1DE6572-A69A-4EFE-A96C-48C39B2BF301,,569,date of birth,"""+1515-10-18T00:00:00Z""",,"""+1515-10-08T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"Daughter of Archibald Douglas, 6th Earl of Angus, and Margaret Tudor, Queen Dowager of Scotland",,,property_value_update,,10,0,0,0,0,0,0,0,0,0.9973421
1064,1108021375,460584,Scala,Q460584$9DA799EE-A770-4B26-82F6-CB4F3B8F618B,,571,inception,"""+2004-01-20T00:00:00Z""",,"""+2010-01-20T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"functional programming language, JVM language, multi-paradigm programming language, object-based language, programming language",general-purpose programming language,,,property_value_update,,2191,0,0,0,0,0,0,0,0,0.99700046
1065,1517324071,369347,Avenir Suisse,Q369347$7FEF035D-4E1D-4D94-BABC-AC35D235ADA5,,571,inception,"""+2000-00-00T00:00:00Z""",,"""+1999-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,think tank,think tank in Switzerland,,,property_value_update,,365,0,0,0,0,0,0,0,0,0.9938491
1068,288469559,188586,Kingdom of Sicily,Q188586$9190f06d-40a6-0018-a22a-3eb79fb659ed,,571,inception,"""+1130-01-01T00:00:00Z""",,"""+113-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"historical country, kingdom, sovereign state","former state in southern Italy, 1130–1816",,,"unrefinement, property_value_update",,371490,0,0,0,0,0,1,0,1,0.99776524
1073,1370982936,18609,Orchid,Q18609$971565cc-01fb-4b8d-a569-3ca8b89231b7,,577,publication date,"""+1995-01-01T00:00:00Z""",,"""+1995-05-15T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,album,1995 debut studio album by Opeth,,,refinement,,135,0,0,1,0,1,0,1,0,0.9968376
1076,1002433209,153565,Kirovo-Chepetsk,Q153565$0D6336DC-2153-4C74-A754-1D9866F6647D,,571,inception,"""+1935-01-01T00:00:00Z""",,"""+1510-12-18T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"administrative divisions of Russia, city or town","town in Kirov Oblast, Russia",,,property_value_update,,155582,0,0,0,0,1,0,1,0,0.9977319
1078,1501858730,40242,Cleopatra V of Egypt,Q40242$059B9F6E-28C5-459A-A73D-FA9BAAC92293,,570,date of death,"""-57-01-01T00:00:00Z""",,"""-57-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Ptolemaic Queen of Egypt,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.99194014
1085,698386803,332605,Atlético Nacional,Q332605$34A5C4CC-4B95-4288-AB84-6BB26A693177,,571,inception,"""+1947-03-07T00:00:00Z""",,"""+1492-03-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,association football club,Colombian association football club,,,property_value_update,,166194,0,0,0,0,0,0,0,0,0.98996234
1087,792111479,219697,Battle of Las Navas de Tolosa,Q219697$E4F949C8-F7C6-42B5-907C-9C497EB014CA,,585,point in time,"""+1212-07-16T00:00:00Z""",,"""+2012-07-16T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,battle,1212 battle between Iberian Christian armies and an Almohad Muslim army,,,property_value_update,,292200,0,0,0,0,0,0,0,0,0.99702835
1093,1345993365,55708,Henryk Chmielewski,Q55708$104503c0-4534-eddc-1019-73b65c512b46,,570,date of death,"""+2021-01-22T00:00:00Z""",,"""+2021-01-21T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Polish comic book artist and journalist (1923–2021),,,property_value_update,,1,0,0,0,0,0,0,0,0,0.9978484
1102,761764310,3805,Amman,Q3805$C9FF5888-C426-42C8-A819-258BF286CFBC,,571,inception,"""+7250-00-00T00:00:00Z""",,"""-7250-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"big city, city",capital of Jordan,,,re_formatting,,5296125,1,0,0,0,0,0,0,0,0.9906279
1116,2146612800,7074913,Obi Ezeh,Q7074913$9d3168f6-4fa8-f121-490b-afdce9bb2d4b,,570,date of death,"""+2024-05-05T00:00:00Z""",,"""+2024-05-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,5,0,0,0,0,0,1,0,0,0.9776802
1125,1359704111,185083,Brahmi,Q185083$eaf99964-4028-9d9a-cf4c-571317f4ca41,,571,inception,"""+300-00-00T00:00:00Z""",,"""-300-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"abugida, natural writing system, unicase alphabet",ancient script of Central and South Asia,,,re_formatting,,219150,1,0,0,0,0,0,0,0,0.9943871
1129,89638038,935,Isaac Newton,q935$8709C71F-8632-4F70-88FC-E5846838A1C9,,570,date of death,"""+1470-04-09T00:00:00Z""",,"""+1727-03-20T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,English mathematician and physicist (1642–1727),,,property_value_update,,93910,0,0,0,0,0,0,0,0,0.9928557
1132,1563851715,44741,Francisco Pizarro,Q44741$FF54EE0E-83AB-4227-98FF-5F2482D7E106,,569,date of birth,"""+1478-03-16T00:00:00Z""",,"""+2278-03-16T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Spanish conquistador who conquered the Inca Empire,,,property_value_update,,292200,0,0,0,0,0,0,0,0,0.9945867
1133,1518013584,311523,Américo,Q311523$B1ABC712-9E8A-4196-ABF3-31EEBF61D990,,2031,work period (start),"""+1985-00-00T00:00:00Z""",,"""+1988-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Chilean singer,,,property_value_update,,1095,0,0,0,0,0,0,0,0,0.9868532
1134,1103665204,40823,Giovanni Benedetto Castiglione,Q40823$3557E945-D2E4-4B03-95EA-91F70556F4A5,,569,date of birth,"""+1607-03-23T00:00:00Z""",,"""+1607-03-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"Italian Baroque artist, painter, printmaker and draftsman",,,unrefinement,,23,0,0,0,0,0,1,0,0,0.99812514
1138,1755122423,430222,Symmachi–Nicomachi diptych,Q430222$84AEB090-58B1-47C4-B371-E348E6A49EE9,,571,inception,"""+388-01-01T00:00:00Z""",,"""+388-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,sculpture,decorated panels carved in ivory,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9940443
1141,1312846061,465283,Russian Navy,Q465283$4beedfc0-41ce-606e-13be-47e1a8c2d38c,,571,inception,"""+1992-01-17T00:00:00Z""",,"""+1626-10-20T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,navy,maritime warfare branch of Russia's military,,,property_value_update,,133957,0,0,0,0,0,0,1,0,0.9787241
1142,325518424,313342,Shun,Q313342$8C757B47-0F80-4114-9CC9-B2788ACEB2C9,,570,date of death,"""+2194-00-00T00:00:00Z""",,"""-2194-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,legendary figure,"legendary ruler of ancient China, one of the Five Emperors",,,re_formatting,,1602717,1,0,0,0,0,0,0,0,0.99372387
1143,893535471,36001,WWE Hall of Fame,q36001$a599e10d-4e40-d669-f464-1f39b2367a6a,,580,start time,"""+1993-02-01T00:00:00Z""",,"""+2004-02-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"hall of fame, television program",Professional wrestling hall of fame and television show,,,property_value_update,,4017,0,0,0,0,0,0,0,0,0.98562837
1149,380712189,318434,Vsevolod I of Kiev,q318434$AC6C7D58-5F1A-487D-B8AB-CCA89B3CCD1F,,569,date of birth,"""+1030-01-01T00:00:00Z""",,"""+1030-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,grand prince of Kiev (1030-1093),,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9945399
1153,982183668,93128,William Harvey,q93128$752F1021-0177-4B32-A790-4F09781051BF,,570,date of death,"""+1657-06-03T00:00:00Z""",,"""+2019-06-03T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,English physician (1578–1657),,,property_value_update,,132220,0,0,0,0,0,0,0,0,0.9931695
1154,1752840355,182382,Nürburg Castle,Q182382$590BBEAD-2DF9-4E79-8061-F3C230112AC1,,571,inception,"""+1166-01-01T00:00:00Z""",,"""+1166-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"castle, castle ruin",castle ruin,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9852327
1159,140171736,8474,Suleiman the Magnificent,q8474$77922E7C-F868-4B8C-B944-C392E7ABFA2B,,569,date of birth,"""+1945-04-27T00:00:00Z""",,"""+1494-11-06T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,the tenth and greatest Sultan of Ottoman Empire (1520–1566),,,property_value_update,,164961,0,0,0,0,0,0,0,0,0.9957596
1162,756614249,428926,Karol Štúr,Q428926$97ED8E60-1B9D-4242-8F86-896F0864649B,,569,date of birth,"""+1867-01-01T00:00:00Z""",,"""+1867-11-12T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,politician (1867-1925),,,refinement,,315,0,0,1,0,1,0,1,0,0.9965434
1164,344781746,275945,Carmen Pereira,Q275945$C815C256-91E2-4249-917A-FA931FA211A9,,569,date of birth,"""+1931-04-10T00:00:00Z""",,"""+1937-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Guinea-Bissauan politician (1937-2016),,,"unrefinement, property_value_update",,2322,0,0,0,0,0,1,0,1,0.9952472
1165,2286701794,257351,Herrad of Landsberg,Q257351$1FB6A743-3722-4E05-B23C-F214343B8979,,570,date of death,"""+1195-07-25T00:00:00Z""",,"""+2001-11-09T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"Abbess, author and illustrator from Alsace (c. 1130 – 1195)",,,property_value_update,,294528,0,0,0,0,0,0,0,0,0.9978297
1166,2257351956,200325,human history,q200325$a3708667-49cd-9042-cc9b-80e1f54f9f44,,580,start time,"""+10000-00-00T00:00:00Z""",,"""-10000-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"aspect of history, history",narrative of humanity's past,,,re_formatting,history,7305000,1,0,0,0,0,0,0,0,0.9950122
1173,723457308,372526,Gedhun Choekyi Nyima,Q372526$96DF0C3C-DE1F-40E9-BE8D-2DBF0C563FBC,,570,date of death,"""+1995-04-17T00:00:00Z""",,"""+1-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"Tibetan religious leader, recognized as the 11th Panchen Lama by the 14th Dalai Lama but not the Chinese government",,,property_value_update,,728446,0,0,0,0,0,1,0,1,0.9957832
1177,1175633598,4838,130 BC,Q4838$E8783168-4694-4BFD-B372-BE78804DADE3,,585,point in time,"""-130-01-01T00:00:00Z""",,"""-130-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,year BC,year,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.97555715
1178,475523449,25917055,Bay at Tenby: coast of south Wales,Q25917055$5FC78303-19B7-4C42-A5E7-228964836FAF,,571,inception,"""+1788-12-01T00:00:00Z""",,"""+1788-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,366,0,1,0,0,0,1,0,1,0.9916444
1181,2271323167,172077,Dome of the Rock,Q172077$7e01c369-4fe4-ab5c-710a-9eb2ac4dee01,,571,inception,"""-4745-00-00T00:00:00Z""",,"""+687-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"dome, mosque",Islamic sanctuary in Jerusalem,,,property_value_update,,1984038,0,0,0,0,0,0,0,0,0.9916612
1185,1904186603,249365,1987 World Championships in Athletics,Q249365$BCCA54E4-24AE-4A04-8101-7E93ADEBB39B,,585,point in time,"""+1987-09-06T00:00:00Z""",,"""+1987-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,World Athletics Championships,1987 edition of the World Championships in Athletics,,,unrefinement,,279,0,0,0,0,0,1,0,1,0.9974359
1186,1737784680,236554,Manon Roland,q236554$81AB26FB-8D61-4662-94B7-A2BF209981B8,,569,date of birth,"""+1754-03-17T00:00:00Z""",,"""+2017-03-17T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,French revolutionary,,,property_value_update,,96060,0,0,0,0,0,0,0,0,0.9831045
1189,187547823,91097,Heinrich Lang,Q91097$C9456A03-4FEA-45D5-BB89-AF1E2DD23879,,569,date of birth,"""+1826-01-01T00:00:00Z""",,"""+1826-11-14T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,German pastor (1826-1876),,,refinement,,317,0,0,1,0,1,0,1,0,0.99686944
1191,1544371130,301391,George Bacovia,q301391$B48D2256-1FCA-4384-A281-481603E05463,,569,date of birth,"""+1881-09-04T00:00:00Z""",,"""+1881-09-17T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Romanian writer and poet,,,property_value_update,,13,0,0,0,0,0,0,0,0,0.9974238
1193,2261701783,266715,Ching Shih,Q266715$2E9CE27C-4582-42FF-8208-58C345A8B7C0,,569,date of birth,"""+1775-00-00T00:00:00Z""",,"""-8000-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,influential female Chinese pirate,,,property_value_update,,3570318,0,0,0,0,0,0,0,0,0.9825088
1197,1060823679,266019,Madeleine Béjart,Q266019$42C88A35-8DD1-4D7C-9ACB-5144440A1A8E,,569,date of birth,"""+2090-01-08T00:00:00Z""",,"""+1615-01-08T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,French stage actress,,,property_value_update,,173493,0,0,0,0,0,0,0,0,0.99197733
1199,388511174,8739,Archimedes,Q8739$2C2CE71A-75B7-4724-95B7-B5A7C8B0D847,,569,date of birth,"""-287-00-00T00:00:00Z""",,"""+287-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Greek mathematician and physicist (c. 287 – c. 212 BC),,,re_formatting,,209653,1,0,0,0,0,0,0,0,0.9963466
1203,994912732,437551,Eric Carmen,Q437551$226F06DE-42A5-4883-80C0-92BCB353A80A,,569,date of birth,"""+1949-08-11T00:00:00Z""",,"""+1949-08-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"American singer-songwriter, guitarist and keyboardist (1949–2024)",,,unrefinement,,11,0,0,0,0,0,1,0,0,0.9982295
1204,811341922,431286,Pimp My Ride,Q431286$676FC187-58D0-4701-8FEA-F5C0FD010BD8,,582,end time,"""+2007-05-24T00:00:00Z""",,"""+2007-12-30T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,television program,American television series,,,property_value_update,,219,0,0,0,0,0,0,0,0,0.9919796
1207,238882315,160538,Gian Lorenzo Bernini,q160538$527264AC-2F26-4D4A-B0A1-68E8EE3612F2,,569,date of birth,"""+2069-12-07T00:00:00Z""",,"""+1598-12-07T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Italian sculptor and architect (1598–1680),,,property_value_update,,172032,0,0,0,0,0,0,0,0,0.9968209
1212,625507428,221043,Simone Martini,Q221043$B9C3A7A7-42FE-4132-B9E7-3E8D1BFEF7C2,,570,date of death,"""+1344-08-01T00:00:00Z""",,"""+1998-08-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Italian painter,,,property_value_update,,238873,0,0,0,0,0,0,0,0,0.990801
1222,1651227387,215959,John Pemberton,q215959$4BD60106-1CAA-4224-81B0-6630A7F2BC79,,570,date of death,"""+1888-08-16T00:00:00Z""",,"""+1895-08-16T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"American pharmacist, inventor of Coca-Cola",,,property_value_update,,2556,0,0,0,0,0,0,0,0,0.9942842
1224,1146636959,178275,1918-1920 flu pandemic,Q178275$c44a5932-4ee3-c4b1-b56c-333bb190a229,,580,start time,"""+1918-10-00T00:00:00Z""",,"""+1918-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"disease, disease outbreak, infectious disease, influenza, influenza pandemic, pandemic, zoonosis",1918–1920 global influenza pandemic caused by the H1N1 influenza A virus,,,unrefinement,"disease, influenza",304,0,0,0,0,0,0,0,1,0.99863535
1227,1015573664,174432,Pedro Álvares Cabral,Q174432$20D73D11-4A60-4CDE-825A-EB26C728DC14,,570,date of death,"""+1520-01-01T00:00:00Z""",,"""+1520-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Portuguese military commander and explorer (c.1467/8 – c.1521),,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9966124
1229,1924293799,202708,American Motors Corporation,Q202708$4D1F147B-7332-4C69-A90B-62322A07E1EE,,576,"dissolved, abolished or demolished date","""+1987-00-00T00:00:00Z""",,"""+1-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,automobile manufacturer,automaker in the US,,,property_value_update,,725386,0,0,0,0,0,0,0,0,0.9940026
1232,610911293,392647,Publius Servilius Vatia Isauricus,Q392647$07335ED7-367F-49DE-A909-E0615CE26F26,,569,date of birth,"""-120-01-01T00:00:00Z""",,"""-120-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Roman consul 79 BC,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9940797
1235,149630518,313907,Amyntas III of Macedon,Q313907$7B4ABB3D-CBF5-465F-8557-150731FE204A,,570,date of death,"""+370-01-01T00:00:00Z""",,"""-370-01-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,king of Macedonia from 393/2 to 370 BC,,,re_formatting,,270285,1,0,0,0,0,0,0,0,0.99695814
1239,562785648,84655,Otto Prutscher,Q84655$6F515344-6A84-4930-A7E9-908E8F04034A,,570,date of death,"""+1949-01-01T00:00:00Z""",,"""+1949-02-15T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Austrian architect and jewelry designer (1880–1949),,,refinement,,44,0,0,1,0,1,0,1,0,0.997683
1240,1347134010,385013,Coky Giedroyc,Q385013$96909F7E-632D-432D-93DD-223678A76154,,569,date of birth,"""+1962-01-01T00:00:00Z""",,"""+1963-02-06T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,British film director,,,refinement,,400,0,0,0,0,1,0,1,0,0.99571085
1246,2245934265,19880562,I Live with Models,Q19880562$644EA715-8CBC-40C6-8161-283183E2B2D1,,577,publication date,"""+2015-06-26T00:00:00Z""",,"""+2015-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,208,0,0,0,0,0,1,0,1,0.9736161
1250,1166888119,118936,Rafael Alberti,Q118936$18384b5c-8905-46c2-afab-988604a9a8fc,,570,date of death,"""+1999-10-27T00:00:00Z""",,"""+1000-10-27T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Spanish poet (1902–1999),,,property_value_update,,364884,0,0,0,0,0,0,0,0,0.9945333
1251,1320809045,11734,Engelbert Dollfuss,q11734$1B6E1085-B338-444B-9325-804D85F1C6E7,,569,date of birth,"""+1599-10-14T00:00:00Z""",,"""+1892-10-04T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Austrian Christian Social and Patriotic Front statesman (1892-1934),,,property_value_update,,107028,0,0,0,0,0,0,0,0,0.99450517
1264,429310900,98858,Valerian von Schoeffer,Q98858$81E9F8C7-3362-4143-8F5E-CFC9E3E431E1,,569,date of birth,"""+1864-01-01T00:00:00Z""",,"""+1862-10-21T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Russian historian and university teacher (1864-1900),,,"refinement, property_value_update",,1023,0,0,0,0,1,0,1,0,0.99659896
1267,48878081,368862,Khaqani,q368862$986324f1-4fac-05a8-aa65-75f53d21f115,,569,date of birth,"""+1996-12-20T00:00:00Z""",,"""+1120-01-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,12th-century Persian poet and author,,,property_value_update,,320312,0,0,0,0,0,0,0,0,0.99497133
1269,1004640423,314850,Suinin,q314850$4c9f29cb-4bb6-7897-8ca2-91a3ff4e6def,,569,date of birth,"""-69-01-01T00:00:00Z""",,"""-69-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,legendary human figure,Emperor of Japan,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.99380296
1274,2026508127,249654,Ministry of Railways,Q249654$d1565b4c-4229-5072-2eb9-6fd5083c0305,,3999,date of official closure,"""+1043-11-01T00:00:00Z""",,"""+1943-11-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"business, Ministries of Japan, ministry of railways, rail company (Japan)",former Japanese railway system operator,,,property_value_update,,328725,0,0,0,0,0,0,0,0,0.9940387
1275,1180961208,32959327,La Tortajada,Q32959327$429ed74c-45a6-ed6d-da0a-009a12c6c8b4,,569,date of birth,"""+1867-00-00T00:00:00Z""",,"""+1867-05-06T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,refinement,,158,0,0,0,0,1,0,1,0,0.98294
1281,1441957799,19992,Lost in the Echo,Q19992$C89C12C3-C080-4D7E-82FC-674133EE6DFB,,577,publication date,"""+2012-10-05T00:00:00Z""",,"""+2012-08-03T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,single,2012 single by Linkin Park,,,property_value_update,,62,0,0,0,0,0,0,0,0,0.9934484
1284,665775457,349372,Adam František Kollár,Q349372$8FC0DB82-F37D-48A0-97B1-256D2974C1AD,,569,date of birth,"""+1718-04-15T00:00:00Z""",,"""+1718-04-17T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,"Slovak jurist, historian, ethnologist, and policy advisor",,,property_value_update,,2,0,0,0,0,0,0,0,0,0.99867916
