,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,relative_value_diff_latitude,relative_value_diff_longitude,latitude_sign_change,longitude_sign_change,latitude_whole_number_change,longitude_whole_number_change,coordinate_distance_km,latitude_precision_change,longitude_precision_change,latitude_length_increase,latitude_length_decrease,longitude_length_increase,longitude_length_decrease,longitude_shared_prefix,longitude_shared_prefix_length,latitude_shared_prefix,latitude_shared_prefix_length,full_cosine_similarity
837,2290954214,15653,Vouga River,Q15653$BBF137DE-7D37-4A5C-9A59-D7E9C031E2A9,,625,coordinate location,"{""latitude"": 40.869361111111, ""longitude"": -7.5790277777778}",,"{""latitude"": 40.868833333333335, ""longitude"": -7.573555555555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,"Natura 2000 site, river, site of community importance",protected area in Portugal,,,property_value_update,,1.2913776073665575e-05,0.0007220216606527311,0.0,0.0,False,False,0.46386638949272835,1,1,1,0,1,0,1,2,1,2,0.99279976
841,1443179214,54789,Torfyanoye,q54789$5BD7CAB8-A3C8-4E6F-9C84-4EF97CFC4112,,625,coordinate location,"{""latitude"": 59.55, ""longitude"": 30.170833333333}",,"{""latitude"": 59.545, ""longitude"": 30.17}",,globecoordinate,UPDATE,PROPERTY_VALUE,posyolok,"human settlement in Novosvetskoe, Gatchinsky District, Leningrad Oblast, Russia",,,"refinement, unrefinement",,8.396305625517133e-05,2.762049439575626e-05,0.0,0.0,False,False,0.5579546276196476,1,1,1,0,0,1,1,2,1,1,0.9934131
843,751446925,49302641,Goose Pond,Q49302641$590C0BAB-DE50-4343-8C02-68F5CAF9ABD7,,625,coordinate location,"{""latitude"": 41.4058, ""longitude"": -75.27512}",,"{""latitude"": 41.405833333333, ""longitude"": -75.275}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,8.050401876182757e-07,1.5941522244728015e-06,0.0,0.0,False,False,0.010672430895770376,1,1,1,0,0,1,1,3,1,4,0.97546095
855,2099595233,66160896,Our Lady and St Kenelm RC School,Q66160896$25015c15-4f70-277b-d3ff-01351ea51afb,,625,coordinate location,"{""latitude"": 52.44976, ""longitude"": 2.058694}",,"{""latitude"": 52.44976, ""longitude"": -2.058694}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,278.99150424098553,1,1,0,0,0,0,1,6,1,5,0.9806336
862,1854152003,401613,Yelokhovo Cathedral,q401613$D7F941B7-6072-4645-92F9-D1E996D45EB2,,625,coordinate location,"{""latitude"": 55.7725, ""longitude"": 37.674444444444}",,"{""latitude"": 55.7725, ""longitude"": 37.67444444444445}",,globecoordinate,UPDATE,PROPERTY_VALUE,"architectural landmark, Eastern Orthodox cathedral",Moscow religious building,,,refinement,,0.0,1.1881845376352422e-14,0.0,0.0,False,False,2.7849870402152274e-11,0,0,0,0,1,0,1,12,1,4,0.9944766
865,1094554122,177440,Tropic of Capricorn,q177440$433EC897-8057-4EE4-9B60-34109B8C6F1A,,625,coordinate location,"{""latitude"": -23.437777777778, ""longitude"": 0}",,"{""latitude"": -23.436694444444445, ""longitude"": 0}",,globecoordinate,UPDATE,PROPERTY_VALUE,"region, tropic",line of southernmost latitude at which the Sun can be directly overhead,,,property_value_update,,4.622167441920093e-05,0.0,0.0,0.0,False,False,0.12046117055640126,1,1,1,0,0,0,0,0,1,2,0.9917906
880,746025681,49302406,Flagstaff Lake,Q49302406$C604E05C-53EF-43C7-A1BD-F58C98B2812B,,625,coordinate location,"{""latitude"": 42.58258, ""longitude"": -119.80019}",,"{""latitude"": 42.5825, ""longitude"": -119.80027777778}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.878702511613232e-06,7.32701509035088e-07,0.0,0.0,False,False,0.011435886179431028,1,1,0,1,1,0,1,3,1,4,0.97641134
892,929460180,63405380,Les Nations,Q63405380$bc8556b9-4f37-30b2-d309-34fcb20ae8f6,,625,coordinate location,"{""latitude"": 45.3875, ""longitude"": 71.908333333333}",,"{""latitude"": 45.3875, ""longitude"": -71.908333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,9313.929843590366,1,1,0,0,0,0,1,12,1,4,0.9813864
894,518774707,712,Fiji,q712$33FB9CA7-AF32-4DB7-829E-8DA701C1DFF3,,625,coordinate location,"{""latitude"": -18, ""longitude"": 179}",,"{""latitude"": -18, ""longitude"": 178}",,globecoordinate,UPDATE,PROPERTY_VALUE,"archipelagic state, country, island country, sovereign state, unitary state",island sovereign state in Oceania,,,property_value_update,,0.0,0.00558659217877095,0.0,0.0,False,True,105.75253138690897,0,0,0,0,0,0,0,0,0,0,0.994638
895,221955751,210886,Villahermosa,q210886$7696DEC1-A4F3-44AC-A8D9-8B3E72E8A11E,,625,coordinate location,"{""latitude"": 55.501388888889, ""longitude"": 37.334166666667}",,"{""latitude"": 17.986944444444, ""longitude"": 92.918888888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,"big city, locality of Mexico","capital of Tabasco, Mexico",,,property_value_update,,0.675919021045528,1.4888432549868484,0.0,0.0,True,True,6228.676231885904,0,0,0,0,0,0,0,0,0,0,0.98968345
899,748613658,49302262,Equmen Lake,Q49302262$46D56CE6-DACA-420A-8AFD-46EB1D7552D6,,625,coordinate location,"{""latitude"": 60.52529, ""longitude"": -150.43005}",,"{""latitude"": 60.525277777778, ""longitude"": -150.43}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, refinement",,2.0193578580373697e-07,3.3238039864673965e-07,0.0,0.0,False,False,0.0030546032144665456,1,1,1,0,0,1,1,2,1,4,0.9737526
907,1121914422,2630,Ivanovo,Q2630$0D1FF694-DC36-48F8-8D1D-937FA01E2814,,625,coordinate location,"{""latitude"": 57, ""longitude"": 40.983333333333}",,"{""latitude"": 57, ""longitude"": 41}",,globecoordinate,UPDATE,PROPERTY_VALUE,"big city, city or town",city in the center of European Russia,,,property_value_update,,0.0,0.0004066693778039807,0.0,0.0,False,True,1.009351623288053,0,0,0,0,0,1,0,0,0,0,0.9929204
917,724277915,284501,Quartucciu,q284501$49977352-3FCD-42BE-871F-D56ADC483F60,,625,coordinate location,"{""latitude"": 39.25, ""longitude"": 9.1833333333333}",,"{""latitude"": 39.25286, ""longitude"": 9.1761589}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of Italy,Italian comune,,,"refinement, property_value_update",,7.286624203817346e-05,0.0007812450090706782,0.0,0.0,False,False,0.6948176753204748,1,1,1,0,0,1,1,1,1,2,0.99196446
925,750094629,49302356,Fischer Lake,Q49302356$07D6ED46-295D-45F1-A0EF-E6D930068055,,625,coordinate location,"{""latitude"": 47.08312, ""longitude"": -99.22751}",,"{""latitude"": 47.083055555556, ""longitude"": -99.2275}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.3687377556943815e-06,1.0077850375327651e-07,0.0,0.0,False,False,0.007205786350414925,1,1,1,0,0,1,1,4,1,3,0.9737437
927,1247420399,376749,Chittagong,q376749$3F10148B-A1BC-42B8-9B59-4AFE6A17C6BE,,625,coordinate location,"{""latitude"": 22.316666666667, ""longitude"": 91.816666666667}",,"{""latitude"": 22.335, ""longitude"": 91.8325}",,globecoordinate,UPDATE,PROPERTY_VALUE,"city, port city","second largest city of Bangladesh, situated at the southwestern part of the country",,,property_value_update,,0.0008215085884839519,0.0001724450898492506,0.0,0.0,False,False,2.60924389932708,1,1,0,1,0,1,1,1,1,1,0.9943766
928,856715538,27509,Central Europe,Q27509$a4e47fd6-4324-8b90-df85-2df329de0eee,,625,coordinate location,"{""latitude"": 51, ""longitude"": 10}",,"{""latitude"": 1, ""longitude"": 15}",,globecoordinate,UPDATE,PROPERTY_VALUE,region,region of Europe,,,property_value_update,,0.9803921568627451,0.5,0.0,0.0,True,True,5579.633856031486,0,0,0,1,0,0,0,0,0,0,0.97767186
929,65364517,710,Kiribati,q710$ADCF5BA6-78C0-4AD1-8D21-B83EAFA36E17,,625,coordinate location,"{""latitude"": -3.366667, ""longitude"": -168.733333}",,"{""latitude"": 1.4666666666667, ""longitude"": 173.03333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,"archipelagic state, island country, sovereign state",island sovereign state in the central Pacific Ocean,,,property_value_update,,1.4356435212234238,2.025484000445425,1.0,1.0,True,True,2096.6238661770676,0,0,1,0,1,0,0,0,0,0,0.99320364
932,750332742,49303710,Lake Isabel,Q49303710$2F61D3CD-C942-4722-B09F-4352F5D944A2,,625,coordinate location,"{""latitude"": 47.87006, ""longitude"": -121.5905}",,"{""latitude"": 47.87, ""longitude"": -121.59055555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, refinement",,1.2533930395080758e-06,4.5690707741084567e-07,0.0,0.0,False,False,0.007853908919597485,1,1,0,1,1,0,1,4,1,2,0.97067094
934,268086764,251392,Davron,q251392$078D5451-609C-4494-B086-9689A404236F,,625,coordinate location,"{""latitude"": 48.8664, ""longitude"": 1.9475}",,"{""latitude"": 48.865555555556, ""longitude"": 1.9466666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Yvelines, France",,,property_value_update,,1.7280676374743832e-05,0.00042789901581511417,0.0,0.0,False,False,0.11194815391665786,1,1,1,0,1,0,1,2,1,2,0.9845329
937,220467716,309442,Paysandú,q309442$D7C6C923-57D9-4C73-8879-6D9B83ED8887,,625,coordinate location,"{""latitude"": -10.321388888889, ""longitude"": -58.075555555556}",,"{""latitude"": -32.32, ""longitude"": -58.075555555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,"border city, city","city; capital of Paysandú Department, Uruguay",,,property_value_update,,2.1313615200365676,0.0,0.0,0.0,True,False,2446.1339487821624,0,0,0,1,0,0,1,12,1,2,0.9896455
941,75057473,1453771,Julia Pfeiffer Burns State Park,q1453771$2CCABA93-0EB7-4B2B-B439-EEC56788EC80,,625,coordinate location,"{""latitude"": 36.168, ""longitude"": 121.67}",,"{""latitude"": 36.168055555556, ""longitude"": -121.67}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, refinement",,1.5360416943893292e-06,2.0,0.0,1.0,False,False,9651.467157035833,1,1,1,0,0,0,1,2,1,3,0.9752999
947,940233391,114536,Old Jewish Cemetery,Q114536$63C22CBD-6959-4DAC-B8C7-BFC072A74174,,625,coordinate location,"{""latitude"": 51.7861, ""longitude"": 19.4475}",,"{""latitude"": 51.786111111111, ""longitude"": 19.4475}",,globecoordinate,UPDATE,PROPERTY_VALUE,"destroyed building or structure, Jewish cemetery","cemetery in Łódź, Poland",,,refinement,,2.1455778674512273e-07,0.0,0.0,0.0,False,False,0.0012354991730061384,1,1,1,0,0,0,1,4,1,4,0.99532175
954,792289398,24912544,Pegunungan Karamoor,Q24912544$695ACBB4-6C7C-4DDE-926E-714E98BCFD55,,625,coordinate location,"{""latitude"": -2.6211, ""longitude"": 139.2594}",,"{""latitude"": -2.6211111111111, ""longitude"": 139.25944444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,refinement,,4.239102323313716e-06,3.1914858166260495e-07,0.0,0.0,False,False,0.005089077332188038,1,1,1,0,1,0,1,4,1,4,0.9767288
957,1429789667,829,Utah,Q829$f67fe446-4d81-49cc-4741-1322121e93dc,,1332,coordinates of northernmost point,"{""latitude"": 42, ""longitude"": -114}",,"{""latitude"": 42, ""longitude"": -112}",,globecoordinate,UPDATE,PROPERTY_VALUE,U.S. state,state of the United States of America,,,property_value_update,,0.0,0.017543859649122806,0.0,0.0,False,True,165.26411172112938,0,0,0,0,0,0,0,0,0,0,0.99283147
967,1184605685,346141,Ada Kaleh,q346141$8318E32D-F72D-41C2-B58E-E4D709EF1767,,625,coordinate location,"{""latitude"": 44.716111111111, ""longitude"": 22.455555555556}",,"{""latitude"": 99.27, ""longitude"": 22.455555555555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,island,island,,,property_value_update,,1.2200052181043428,1.9776362635578845e-14,0.0,0.0,True,False,6066.11567317542,0,0,0,1,1,0,1,11,0,0,0.9744237
976,1569434658,739,Colombia,q739$E82FE988-9FB7-4CAF-83B8-DC7D49D4693D,,625,coordinate location,"{""latitude"": 4, ""longitude"": -74}",,"{""latitude"": 4, ""longitude"": -73.25}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, republic, secular state, sovereign state",sovereign state in South America,,,property_value_update,,0.0,0.010135135135135136,0.0,0.0,False,True,83.19304315370745,0,0,0,0,1,0,0,0,0,0,0.9935541
985,231866769,509810,Léogâne Arrondissement,Q509810$4BAA9106-4E14-44B3-B00A-08BF17BEFDF7,,625,coordinate location,"{""latitude"": 18.5108, ""longitude"": 72.6339}",,"{""latitude"": 18.5108, ""longitude"": -72.6339}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,14417.214854748523,1,1,0,0,0,0,1,4,1,4,0.97904575
987,2000774646,204403,Diomede Islands,q204403$9BD6E0F2-E39E-4E30-ADAC-D9ED413691AF,,625,coordinate location,"{""latitude"": 65.783333333333, ""longitude"": -169.01666666667}",,"{""latitude"": 65.75, ""longitude"": -169}",,globecoordinate,UPDATE,PROPERTY_VALUE,island group,island group in the Bering Strait,,,"unrefinement, property_value_update",,0.0005067139599646023,9.860960459523681e-05,0.0,0.0,False,False,3.7837477131492805,1,1,0,1,0,1,0,0,1,1,0.9827572
993,730762152,1020,Malawi,q1020$E92A30C9-1724-4B79-BF15-4E130A2DBAA7,,625,coordinate location,"{""latitude"": 13, ""longitude"": 34}",,"{""latitude"": -13, ""longitude"": 34}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, landlocked country, republic, sovereign state",sovereign state in Africa,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,2891.068092758527,0,0,0,0,0,0,0,0,0,0,0.99078405
998,751760933,49304341,Little Ortega Lake,Q49304341$6E54AE5D-6E77-4D43-BF61-273A0CD4FFF5,,625,coordinate location,"{""latitude"": 34.38009, ""longitude"": -109.66757}",,"{""latitude"": 34.38, ""longitude"": -109.6675}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,2.6177941942602683e-06,6.382926146152162e-07,0.0,0.0,False,False,0.011891917162758047,1,1,0,1,0,1,1,4,1,2,0.97375846
1001,1193924792,1948,Manitoba,Q1948$8f820420-43b1-0759-7242-40b9f41bddf9,,1335,coordinates of westernmost point,"{""latitude"": 55, ""longitude"": -102}",,"{""latitude"": 56, ""longitude"": -102}",,globecoordinate,UPDATE,PROPERTY_VALUE,province of Canada,province of Canada,,,property_value_update,,0.01818181818181818,0.0,0.0,0.0,True,False,111.19492664455889,0,0,0,0,0,0,0,0,0,0,0.9847467
1007,268841733,377103,Crépand,q377103$D176A58B-8876-4D1C-85B6-A08022E26097,,625,coordinate location,"{""latitude"": 47.616667, ""longitude"": 4.316667}",,"{""latitude"": 47.611388888889, ""longitude"": 4.31}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Côte-d'Or, France",,,"unrefinement, property_value_update",,0.00011084587484874823,0.0015444786452140508,0.0,0.0,False,False,0.7708447842099282,1,1,1,0,0,1,1,2,1,2,0.99099326
1034,1863259930,117319155,Boomey Cemetery,Q117319155$6a2a1dbc-40c6-63d2-d7f9-c24a75ecf207,,625,coordinate location,"{""latitude"": -33.0094995, ""longitude"": 148.9674185}",,"{""latitude"": 33.0094995, ""longitude"": 148.9674185}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,7340.977750952194,0,0,0,0,0,0,1,7,1,7,0.9817351
1035,120163332,2073299,Duffield Castle,q2073299$FE4C3DCA-3071-45B8-9448-292D28216B92,,625,coordinate location,"{""latitude"": 52.99225, ""longitude"": 1.4919388888889}",,"{""latitude"": 52.99225, ""longitude"": -1.4919388888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,199.69889984769654,1,1,0,0,0,0,1,13,1,5,0.9797072
1036,511391355,30106230,Lobster Cove Lighthouse,Q30106230$1361da39-4f57-4559-9fcb-5bc2a940211e,,625,coordinate location,"{""latitude"": 49.602777777778, ""longitude"": 57.956666666667}",,"{""latitude"": 49.602777777778, ""longitude"": -57.956666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,7410.504198136184,1,1,0,0,0,0,1,12,1,12,0.9794993
1045,749534198,49302339,Findley Lake,Q49302339$B2F7F609-34D7-40C0-A6E2-00B500644055,,625,coordinate location,"{""latitude"": 47.31878, ""longitude"": -121.58507}",,"{""latitude"": 47.318888888889, ""longitude"": -121.585}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.3011770168715445e-06,5.757285825308e-07,0.0,0.0,False,False,0.01320773753976158,1,1,1,0,0,1,1,3,1,3,0.9750977
1058,751517986,49302317,Fayette Lake,Q49302317$6862FC8F-C726-4E01-9E05-8101562BD241,,625,coordinate location,"{""latitude"": 42.93614, ""longitude"": -109.68513}",,"{""latitude"": 42.936111111111, ""longitude"": -109.685}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,6.728338643931217e-07,1.1852107938298583e-06,0.0,0.0,False,False,0.01105973337121382,1,1,1,0,0,1,1,3,1,4,0.9791341
1059,801518249,24924013,Gunung Jambe,Q24924013$D12D6DA8-B4E2-4CC9-A22D-AB8504D3C82A,,625,coordinate location,"{""latitude"": -7.83333, ""longitude"": 110.65}",,"{""latitude"": -7.8333333333333, ""longitude"": 110.65}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,refinement,,4.2553209172197265e-07,0.0,0.0,0.0,False,False,0.00037064975176037684,1,1,1,0,0,0,1,2,1,5,0.9748192
1062,1823652536,24910419,Thessaloniki Bus Station,Q24910419$C3A6F552-9D73-4781-93B8-4EA830EB3565,,625,coordinate location,"{""latitude"": 40.6545, ""longitude"": 22.9024}",,"{""latitude"": 40.65458, ""longitude"": 22.90239}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,refinement,,1.9678018424547544e-06,4.3663546176913437e-07,0.0,0.0,False,False,0.008935503651076274,1,1,1,0,1,0,1,3,1,4,0.9805082
1063,315381329,428669,Alabama State Route 19,Q428669$2038A201-3D29-42B0-ACB1-FE138C06774D,,625,coordinate location,"{""latitude"": 34.251151, ""longitude"": 88.060355}",,"{""latitude"": 34.251151, ""longitude"": -88.060355}",,globecoordinate,UPDATE,PROPERTY_VALUE,road,highway in Alabama,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,12387.262893560779,1,1,0,0,0,0,1,6,1,6,0.98754585
1075,1100711158,176609,Arctic Circle,Q176609$35f20fab-4081-8ac0-d1c7-05735dee1b1f,,625,coordinate location,"{""latitude"": 66.56330555555556, ""longitude"": 0}",,"{""latitude"": 66.56369277777777, ""longitude"": 0}",,globecoordinate,UPDATE,PROPERTY_VALUE,"polar circle, region",boundary of the Arctic,,,property_value_update,,5.817352653745071e-06,0.0,0.0,0.0,False,False,0.043057146594533295,1,1,0,0,0,0,0,0,1,3,0.98983467
1077,1524074867,109323139,Bunijikho Island,Q109323139$35aeb473-4ee5-064d-5c0c-ada4078ece8c,,625,coordinate location,"{""latitude"": -0.06472222222222222, ""longitude"": 98.46277777777777}",,"{""latitude"": 0.06472222222222222, ""longitude"": 98.46277777777777}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,14.39356550454566,0,0,0,0,0,0,1,14,1,17,0.97786134
1089,364473991,29082,Manabo,q29082$26E5706C-E795-4603-991D-CB57EB7B9EE4,,625,coordinate location,"{""latitude"": 17.466666666667, ""longitude"": 120.7}",,"{""latitude"": 17.4331, ""longitude"": 120.7048}",,globecoordinate,UPDATE,PROPERTY_VALUE,municipality of the Philippines,municipality of the Philippines in the province of Abra,,,"refinement, property_value_update",,0.001921755725209851,3.9768019884034993e-05,0.0,0.0,False,False,3.7670131523550454,1,1,0,1,1,0,1,1,1,1,0.99590033
1097,756308052,49304928,Lower Arch Lake,Q49304928$74A59179-AD64-4BD9-8ACE-05484EE813E5,,625,coordinate location,"{""latitude"": 45.16501, ""longitude"": -109.72186}",,"{""latitude"": 45.165, ""longitude"": -109.72194444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.214103351947478e-07,7.696227533116105e-07,0.0,0.0,False,False,0.006713168241723672,1,1,0,1,1,0,1,3,1,3,0.9774871
1099,85061721,2081935,Aboa,q2081935$7C6445F1-FC9F-482A-828A-42D87E18CE59,,625,coordinate location,"{""latitude"": 73.05, ""longitude"": 13.41667}",,"{""latitude"": -73.05, ""longitude"": 13.416666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, property_value_update",,2.0,2.4844711838661713e-07,1.0,0.0,False,False,16245.57878277003,0,0,0,0,1,0,1,4,1,2,0.96906734
1108,1250882859,97685058,Gedenkteken Maria Montessori,Q97685058$f50896c8-450c-dc42-ad6e-9e5be2c09b4b,,625,coordinate location,"{""latitude"": -109.33360277777777, ""longitude"": -50.86673888888889}",,"{""latitude"": 109.33360278055555, ""longitude"": 50.86673888888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, property_value_update",,2.0000000000254063,2.0,1.0,1.0,False,False,17332.938649278887,0,0,0,0,0,0,1,14,1,7,0.9640839
1113,2146861072,41346,Hassan II Mosque,q41346$2A53D0FA-FF95-4355-A57B-BA4DBFF5F109,,625,coordinate location,"{""latitude"": 64.59316666666666, ""longitude"": -3.6714527777777777}",,"{""latitude"": 33.60734166666667, ""longitude"": -7.632561111111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,mosque,"Mosque in Casablanca, Morocco",,,property_value_update,,0.47970747679708114,1.0788939891338807,0.0,0.0,True,True,3456.0153091341635,0,0,0,0,0,1,1,1,0,0,0.9891411
1114,625875375,315827,Borbon,q315827$93D7F11B-3731-426D-9973-03A5DC719FCD,,625,coordinate location,"{""latitude"": 10.85, ""longitude"": 124}",,"{""latitude"": 10.833333333333, ""longitude"": 124}",,globecoordinate,UPDATE,PROPERTY_VALUE,municipality of the Philippines,municipality of the Philippines in the province of Cebu,,,property_value_update,,0.0015360983103225507,0.0,0.0,0.0,False,False,1.8532487774462134,1,1,1,0,0,0,0,0,1,1,0.9943391
1118,2308915576,2262,Kootenay River,Q2262$BDC45FE5-D3FA-4093-A404-9F909AB4AC73,,625,coordinate location,"{""latitude"": 51.0392, ""longitude"": -116.4425}",,"{""latitude"": 8.9950865, ""longitude"": -115.1791191}",,globecoordinate,UPDATE,PROPERTY_VALUE,river,river in North America. Tributary of the Columbia River,,,property_value_update,,0.8237612168686029,0.01084982630912254,0.0,0.0,True,True,4676.528192946309,0,0,1,0,1,0,0,0,0,0,0.99441344
1122,267213588,193085,La Gouesnière,q193085$D9830ACA-AB62-401A-8B03-DF3C63FE02BF,,625,coordinate location,"{""latitude"": 48.6061, ""longitude"": -1.8928}",,"{""latitude"": 48.605277777778, ""longitude"": -1.8941666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Ille-et-Vilaine, France",,,property_value_update,,1.6916029510667566e-05,0.000722034375898164,0.0,0.0,False,False,0.1358539446388257,1,1,1,0,1,0,1,2,1,2,0.99188185
1150,729141732,1974,British Columbia,q1974$60146D1E-343B-4ED8-9C30-01AD4948A373,,625,coordinate location,"{""latitude"": 54.5, ""longitude"": 124.5}",,"{""latitude"": 54.5, ""longitude"": -124.5}",,globecoordinate,UPDATE,PROPERTY_VALUE,,province of Canada,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,6358.61784668288,1,1,0,0,0,0,1,1,1,1,0.977324
1152,748104978,49303157,Imikruk Lagoon,Q49303157$24D629A4-C6B6-428C-B31C-FE5171EB68A8,,625,coordinate location,"{""latitude"": 67.68013, ""longitude"": -164.31135}",,"{""latitude"": 67.68, ""longitude"": -164.31138888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.9208000930056015e-06,2.3667805056293118e-07,0.0,0.0,False,False,0.014548328656176402,1,1,0,1,1,0,1,4,1,2,0.97972476
1160,411219748,26556,Westland,q26556$B59CD9DB-B748-49E5-A047-003860658F9D,,625,coordinate location,"{""latitude"": 52, ""longitude"": 4.17}",,"{""latitude"": 52, ""longitude"": 4.1666666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,"municipality of the Netherlands, organization",municipality in the Netherlands,,,refinement,,0.0,0.0007993605115827586,0.0,0.0,False,False,0.22819477526679216,1,1,0,0,1,0,1,1,0,0,0.99180764
1169,751249398,49303601,Lake Blanchard,Q49303601$FCF7485C-E22C-4331-99E6-2DC584BF0A02,,625,coordinate location,"{""latitude"": 40.80702, ""longitude"": -110.40505}",,"{""latitude"": 40.806944444444, ""longitude"": -110.405}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.851533290152432e-06,4.528778348604509e-07,0.0,0.0,False,False,0.009396428199313354,1,1,1,0,0,1,1,3,1,2,0.9736735
1172,1064044229,163772,Grefrath,Q163772$97B2F79D-4804-47E5-963D-1B142ED61F00,,625,coordinate location,"{""latitude"": 51.33628, ""longitude"": 6.34076}",,"{""latitude"": 51.336280555555554, ""longitude"": 6.340761111111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,non-urban municipality in Germany,"municipality in Viersen District, in North Rhine-Westphalia, Germany",,,refinement,,1.0821889544478814e-08,1.7523311254081545e-07,0.0,0.0,False,False,9.886390851657259e-05,1,1,1,0,1,0,1,5,1,5,0.9929098
1179,539825439,26268442,Carsluith,Q26268442$2258B6DE-E32A-432B-85CD-0C36E62176CC,,625,coordinate location,"{""latitude"": 54.868055555556, ""longitude"": 4.3638888888889}",,"{""latitude"": 54.868056111111, ""longitude"": -4.3638888888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, property_value_update",,1.0125290554610773e-08,2.0,0.0,1.0,False,False,558.114989773798,1,1,0,0,0,0,1,13,1,5,0.9743239
1195,1501632256,126210,Schleißheim airfield,Q126210$AAEA02F2-9260-4E95-A410-22ED769E81DE,,625,coordinate location,"{""latitude"": 48.2394, ""longitude"": 11.5614}",,"{""latitude"": 48.239, ""longitude"": 11.559166666666666}",,globecoordinate,UPDATE,PROPERTY_VALUE,German special airfield,"aerodrome in Bavaria, Germany",,,"unrefinement, property_value_update",,8.291977097687226e-06,0.0001931715305529297,0.0,0.0,False,False,0.17127292149969045,1,1,0,1,1,0,1,1,1,3,0.9923955
1200,162760986,972260,Takwa,Q972260$26A47D68-82A3-4C2A-A6FA-03E24ECC7CE1,,625,coordinate location,"{""latitude"": 2.2983333333333, ""longitude"": 40.958333333333}",,"{""latitude"": -2.2983333333333, ""longitude"": 40.958333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,511.12601280948087,0,0,0,0,0,0,1,12,1,13,0.97356784
