revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,main_entity_type,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity
996422161,246812,Sweyn II of Denmark,Q246812$AA181121-81B7-4FA8-91CE-6B28C898DC38,,106,occupation,"""Q82955""",politician,"""Q116""",monarch,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""King of Denmark from 1047 to 1076""","""person at the head of a monarchy""","""person who holds or seeks positions in government""",refinement,
673365847,5673,Hans Christian Andersen,Q5673$82c29d50-482a-d69e-e41c-57846362cb69,,800,notable work,"""Q11859""",The Little Mermaid,"""Q11870""",Thumbelina,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Danish writer and poet (1805–1875)""","""fairy tale by H. C. Andersen""","""fairy tale by H. C. Andersen""",property_value_update,
748400474,30933,Bundesplatz,Q30933$5b13e312-4b8e-c8e5-5e63-01d57340551f,,131,located in the administrative territorial entity,"""Q70""",Bern,"""Q11911""",Canton of Berne,wikibase-entityid,UPDATE,PROPERTY_VALUE,square,"""square in front of the Bundeshaus in Bern, Switzerland""","""canton of Switzerland""","""city in Switzerland, capital of the canton of Bern and de facto capital of Switzerland""",refinement,
1764717580,254374,Judith of Swabia,Q254374$21C5F62A-C710-4545-805E-CB9B0B7E1EAC,,19,place of birth,"""Q13364""",Ravenna,"""Q1197""",Lower Saxony,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Queen consort of Hungary from 1063 to 1074""","""state in North-West of Germany""","""city in northern Italy""",property_value_update,
977543516,328039,Miguel Ángel Martín,Q328039$928F2EA6-5BFE-45D2-BD1E-B1927BD08969,,19,place of birth,"""Q2807""",Madrid,"""Q12246""",Huelva,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""professional golfer""","""municipality and capital city of the Province of Huelva, Spain""","""capital of Spain""",property_value_update,
622922577,28630,Hermannus Alemannus,Q28630$C594F2F4-432B-43BE-8A20-7FC9F910F8A2,,27,country of citizenship,"""Q29""",Spain,"""Q12548""",Holy Roman Empire,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""translator""","""multi-ethnic complex of territories in Western and Central Europe (800/962–1806)""","""country in southwestern Europe with territories in Africa""",property_value_update,
2239185799,157217,House of Hanover,Q157217$2ECF19D7-A212-47A6-B1DD-CDE6DE711C32,,17,country,"""Q183""",Germany,"""Q12548""",Holy Roman Empire,wikibase-entityid,UPDATE,PROPERTY_VALUE,"group of humans, noble family","""European royal dynasty of German origin""","""multi-ethnic complex of territories in Western and Central Europe (800/962–1806)""","""country in Central Europe""",property_value_update,
417698258,191340,Zepernick,Q191340$15AC069F-CD76-417E-BF7B-7C7CE23CBA19,,131,located in the administrative territorial entity,"""Q1208""",Brandenburg,"""Q126189""",Panketal,wikibase-entityid,UPDATE,PROPERTY_VALUE,"former municipality, Ortsteil, village","""village in Barnim district, Brandenburg state, Germany""","""municipality in Barnim district, Brandenburg state, Germany""","""state in North-East of Germany""",refinement,
324816650,184079,Vereinigte Norm,Q184079$6E442425-282C-4F6F-8675-905DA83CFF95,,131,located in the administrative territorial entity,"""Q1198""",North Rhine-Westphalia,"""Q1295""",Dortmund,wikibase-entityid,UPDATE,PROPERTY_VALUE,mine,"""mine""","""city in North Rhine-Westphalia, Germany""","""state in Germany""",refinement,
1361518449,437787,Jonatha Brooke,Q437787$38935E54-682A-463A-BA05-1EC6A0DD5470,,19,place of birth,"""Q1204""",Illinois,"""Q1297""",Chicago,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American singer-songwriter and musician""","""city and county seat of Cook County, Illinois, United States of America""","""state of the United States of America""",unrefinement,
1452387045,254022,Suzy Eddie Izzard,Q254022$74642506-4b18-cfcb-966d-7cdacb41d23d,,19,place of birth,"""Q49910""",Colony of Aden,"""Q131694""",Aden,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""British comedian and actor (born 1962)""","""port city and temporary capital of Yemen""","""1937-1967 UK possession on the Arab Peninsula""",link_change,
1047466739,84444,Jernej Kopitar,q84444$3A289A66-AFE4-4870-9001-A4DB4D451B8E,,27,country of citizenship,"""Q40""",Austria,"""Q131964""",Austrian Empire,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Slovenian philologist""","""Central European multinational Empire from 1804 to 1867""","""country in Central Europe""",refinement,
1840388527,9021,Max Planck,Q9021$22377EFE-4CF6-4F87-94F2-743FB6FEC3A5,,1412,"languages spoken, written or signed","""Q188""",German,"""Q1321""",Spanish,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German theoretical physicist (1858–1947)""","""Romance language originating in the Iberian Peninsula""","""West Germanic language spoken mainly in Central Europe""",property_value_update,
326791429,80011,Chiba Prefecture,Q80011$248F1464-844D-4E74-B798-55DC1001950A,,131,located in the administrative territorial entity,"""Q17""",Japan,"""Q132480""",Kantō region,wikibase-entityid,UPDATE,PROPERTY_VALUE,prefecture of Japan,"""prefecture of Japan""","""one of 8 regions in Japan encompassing 7 prefectures""","""island country in East Asia""",refinement,
2049582223,108818,Alfred Quellmalz,q108818$C224910B-9D03-43B0-BB90-F799347087AC,,27,country of citizenship,"""Q43287""",German Empire,"""Q1206012""",German Reich,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""university teacher (1899-1979)""","official name for the German nation state from 1871 to 1945, and name of Germany until 1949","""German nation-state in Central Europe from 1871 to 1918""",property_value_update,
11830922,299737,Mandukhai Khatun,q299737$D37E5825-6AAD-4660-B52E-D33D71B2B514,,21,sex or gender,"""Q43445""",female organism,"""Q6581072""",female,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Mongolian politician (1449-1510)""","to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person","""organism of the female sex""",link_change,
1383371068,230299,Nellie Bly,Q230299$06b0c417-4038-b195-d6f6-861a6dd81e7f,,551,residence,"""Q29""",Spain,"""Q1384""",New York,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American journalist""","""state of the United States of America""","""country in southwestern Europe with territories in Africa""",property_value_update,
6063681,29,Spain,q29$3C2257DC-5290-442A-9356-2F6C61A8C0F6,,47,shares border with,"""Q47774""",France men's national association football team,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,"country, Mediterranean country, nation state, realm, sovereign state","""country in southwestern Europe with territories in Africa""","""country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)""","""national association football team representing France""",link_change,
1816874576,116754,Marc-Auguste Pictet,Q116754$37e7ee93-4ae0-6dc1-d9d7-61384ea1b50c,,27,country of citizenship,"""Q58296""",France,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Genevan scientist (1752-1825)""","""country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)""","""republic governing France, 1792–1804""",link_change,
939519699,350377,Madjid Bougherra,Q350377$3CE629F1-64C3-42EC-9345-5BB11980F195,,27,country of citizenship,"""Q262""",Algeria,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Algerian-French football manager (born 1982)""","""country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)""","""country in North Africa""",property_value_update,
780217786,47674,Amerigo Vespucci,Q47674$E4E7CC59-8731-41A1-9107-5F9DBED95CD9,,27,country of citizenship,"""Q38""",Italy,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Italian explorer, financier, navigator and cartographer""","""country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)""","""country in Southern Europe""",property_value_update,
538921123,214407,Félix Houphouët-Boigny,q214407$C26AD1DB-4560-4966-9B56-B57CC6B0B4A4,,27,country of citizenship,"""Q1008""",Ivory Coast,"""Q142""",France,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""doctor, Ivorian politician, first president of Côte d'Ivoire (1905-1993)""","""country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)""","""sovereign state in West Africa""",property_value_update,
345312191,146907,Miralem Pjanić,q146907$BC15EE13-8B60-4575-ABAA-D7912E6224E5,,54,member of sports team,"""Q2739""",A.S. Roma,"""Q1422""",Juventus FC,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Bosnian association football player""","""association football club in Turin, Italy""","""association football club in Rome, Italy""",property_value_update,
144343690,42235,Abuwtiyuw,Q42235$49675429-4E38-4C3F-ACC1-20FD192FF28A,,31,instance of,"""Q5""",human,"""Q144""",dog,wikibase-entityid,UPDATE,PROPERTY_VALUE,dog,"""Egyptian dog, one of the earliest documented domestic animals""","""domestic animal""","""any member of Homo sapiens, unique extant species of the genus Homo""",property_value_update,
50862641,369657,Gorleston-on-Sea,q369657$9628D631-FE81-4941-BA3A-E86885273B54,,17,country,"""Q21""",England,"""Q145""",United Kingdom,wikibase-entityid,UPDATE,PROPERTY_VALUE,"civil parish, seaside resort, town","""town in Norfolk, England""","""country in north-west Europe""","""country in north-west Europe, part of the United Kingdom""",unrefinement,
225522276,44268,Moravian,Q44268$72BCFC59-5CB3-4FFB-9D23-0996B96AA2FA,,279,subclass of,"""Q19860""",Indo-European,"""Q145852""",West Slavic,wikibase-entityid,UPDATE,PROPERTY_VALUE,"Czech, dialect","""varieties of Czech spoken in Moravia""","""subdivision of the Slavic language group""","""language family native to western and southern Eurasia— Europe, Iran and India""",refinement,
134590383,110474,Melchior Vischer,q110474$048E9BEC-8CA7-463A-A7CF-70B34DEC2641,,19,place of birth,"""Q213""",Czech Republic,"""Q146342""",Teplice,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German writer (1895–1975)""","""town in the Ústí nad Labem Region, Czech Republic""","""country in Central Europe""",property_value_update,
276753031,83243,Jebsheim,Q83243$60934228-45df-c54e-b2c8-724206d61c6a,,47,shares border with,"""Q325085""",Holtzwihr,"""Q148166""",Riedwihr,wikibase-entityid,UPDATE,PROPERTY_VALUE,commune of France,"""commune in Haut-Rhin, France""","""former commune in Haut-Rhin, France""","""former commune in Haut-Rhin, France""",property_value_update,
10519314,312183,Mamadou Sakho,q312183$7B4EB4BB-FE56-4FBB-8709-055B33FF1630,,21,sex or gender,"""Q44148""",male organism,"""Q6581097""",male,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French footballer (born 1990)""","to be used in ""sex or gender"" (P21) to indicate that the human subject is a male or ""semantic gender"" (P10339) to indicate that a word refers to a male person","""male animal or plant""",link_change,
6013868,1612,Arkansas,q1612$C3D9E0CA-E7B9-49B8-B794-CB2DAECFCC1A,,47,shares border with,"""Q1497""",Mississippi River,"""Q1494""",Mississippi,wikibase-entityid,UPDATE,PROPERTY_VALUE,U.S. state,"""state of the United States of America""","""state of the United States of America""","""primary river of the largest drainage basin in the United States""",unrefinement,
496444966,312036,Yannis Fetfatzidis,Q312036$4F10D8FF-9DB5-4077-8AA3-06AFA1D93036,,54,member of sports team,"""Q44441""",Al-Ahli Saudi FC,"""Q2829200""",Al-Ahli,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Greek footballer""",Jordanian football club,"""football Club in Jeddah, Saudi Arabia""",link_change,
1452806522,286723,ABBA Live,Q286723$91f88cef-492a-3988-a305-c9681c40adb4,,437,distribution format,"""Q221""",North Macedonia,"""Q149757""",compact cassette,wikibase-entityid,UPDATE,PROPERTY_VALUE,album,"""1986 live album by ABBA""","""magnetic tape recording format for audio recording and playback""","""country in southeastern Europe""",property_value_update,
1124270039,7296,Mount Kilimanjaro,q7296$D77033E2-269F-4290-828B-C7B9935ECFF8,,30,continent,"""Q27407""",East Africa,"""Q15""",Africa,wikibase-entityid,UPDATE,PROPERTY_VALUE,"dormant volcano, massif, tourist attraction","""mountain massif in Kilimanjaro National Park in Tanzania""","""continent""","""easterly region of the African continent""",link_change,
6020073,1000,Gabon,q1000$299B2BDC-8BF1-403B-AC71-F232B6C3F091,,30,continent,"""Q4412""",West Africa,"""Q15""",Africa,wikibase-entityid,UPDATE,PROPERTY_VALUE,"country, French colonial empire, sovereign state","""country on the Atlantic coast of Central Africa""","""continent""","""westernmost region of the African continent""",link_change,
9885626,77203,Ferdinand von Lindemann,q77203$B4273E66-6558-46B8-A2E4-2AB2122AE8F1,,27,country of citizenship,"""Q183""",Germany,"""Q151624""",German Confederation,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German mathematician (1852–1939)""","""Confederation of States in Germany from 1815 to 1866""","""country in Central Europe""",property_value_update,
214977108,344063,Dmitry Sitkovetsky,Q344063$96C8CF16-8591-4276-AF4B-CAA8E72CF2F0,,27,country of citizenship,"""Q159""",Russia,"""Q15180""",Soviet Union,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Soviet-Russian born classical violinist and conductor, born 1954.""","""former country in Eurasia (1922–1991)""","""country in Eastern Europe and Northern Asia""",property_value_update,
2048673331,390913,Evgeni Nabokov,Q390913$D05FF1D8-9DA6-49DC-9556-8AB095F8DC6B,,27,country of citizenship,"""Q232""",Kazakhstan,"""Q15180""",Soviet Union,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Kazakh/Russian ice hockey goaltender""","""former country in Eurasia (1922–1991)""","""sovereign state in Eastern Europe and Central Asia""",property_value_update,
221718763,144303,Lyudmila Gubkina,Q144303$039a3049-48ba-1ee0-f9d1-a7cc6df33cdc,,27,country of citizenship,"""Q184""",Belarus,"""Q15180""",Soviet Union,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""athletics competitor""","""former country in Eurasia (1922–1991)""","""country in Eastern Europe""",property_value_update,
11232903,102720,Hertha BSC,q102720$4C5CC779-EEE5-4C39-AD7C-A0E5955B310A,,118,league or competition,"""Q113159""",2. Frauen-Bundesliga,"""Q152665""",2. Bundesliga,wikibase-entityid,UPDATE,PROPERTY_VALUE,association football club,"""sports club of Berlin in Germany""","""German association football league""","""women's association football league""",link_change,
11260556,431271,Arboga Municipality,q431271$2F730F27-B704-4837-A7B1-87D0947DFEBC,,31,instance of,"""Q127448""",municipality of Sweden,"""Q15284""",municipality,wikibase-entityid,UPDATE,PROPERTY_VALUE,municipality of Sweden,"""municipality in Västmanland County, Sweden""","""administrative division having corporate status and usually powers of self-government or jurisdiction""","""local administrative subdivisions of Sweden""",unrefinement,
166023571,209034,Toluca,Q209034$f1991581-4303-7f7d-06d0-685c10c2449b,,31,instance of,"""Q515""",city,"""Q15284""",municipality,wikibase-entityid,UPDATE,PROPERTY_VALUE,"big city, city, locality of Mexico","""city in the capital municipality of Mexico State""","""administrative division having corporate status and usually powers of self-government or jurisdiction""","""large human settlement""",unrefinement,
1841875075,96579,Karl Immanuel Nitzsch,q96579$2356625B-D20A-4F02-884E-EFC12861AD1B,,27,country of citizenship,"""Q183""",Germany,"""Q153015""",Kingdom of Saxony,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German church leader""","""former German state (1806-1918)""","""country in Central Europe""",property_value_update,
1992740536,257931,provocation,Q257931$f10cd869-409b-0cb4-43a2-c65528e98977,,279,subclass of,"""Q451967""",intentional human activity,"""Q1914636""",activity,wikibase-entityid,UPDATE,PROPERTY_VALUE,activity,"""action resulting in negative reactions such as condemnation or counteractions""",series of actions done by an agent which results in an external change of state,"""human activity driven by purposeful motives""",unrefinement,
2017788811,272464,Princess Elisabeth of Thurn and Taxis,Q272464$C261A41E-FDE8-4B02-A9FA-5D56A506C778,,27,country of citizenship,"""Q183""",Germany,"""Q154195""",Kingdom of Bavaria,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Duchess of Braganza (1860–1881)""","""kingdom in Central Europe between 1806 and 1918, from January 1871 part of the German Empire""","""country in Central Europe""",property_value_update,
1273314629,455044,Eleanor of Scotland,Q455044$9ad46cca-6f99-45df-aa72-af536e7b9a8a,,97,noble title,"""Q166886""",duke,"""Q154615""",Archduke,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Scottish princess; fourth daughter sixth child of James I of Scotland and Joan Beaufort""","""title of nobility in Austria and the Habsburg Empire""","""noble or royal title in some European countries and their colonies""",refinement,
225193378,204931,Retezat National Park,Q204931$4C68F31C-485A-4D3B-9392-B5A05AAA4AA6,,31,instance of,"""Q46169""",national park,"""Q16795406""",list of national parks of Romania,wikibase-entityid,UPDATE,PROPERTY_VALUE,"biosphere reserve, national park, protected area","""national park of Romania, Biosphere reserve in Romania""",Wikimedia list article,"""park used for conservation purposes of animal life and plants""",refinement,
997899040,57668,Caroline Matilda of Great Britain,Q57668$5555DBC7-34BC-4D5A-9854-ACCA9F9731B8,,53,family,"""Q155594""",House of Oldenburg,"""Q157217""",House of Hanover,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Queen consort of Denmark and Norway, 1766–1772""","""European royal dynasty of German origin""","""dynasty""",property_value_update,
421292913,335443,Al-Mu'izz li-Din Allah,Q335443$3E1152B7-8312-4654-92AD-881745F8ACC4,,19,place of birth,"""Q466054""",Mahdia,"""Q2427023""",Kutama,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""4th Caliph of the Fatimid dynasty (r. 953–975)""",berber tribe in northern Algeria,"""place in Mahdia Governorate, Tunisia""",property_value_update,
284575453,130531,Hieronymus Bosch,Q130531$EF21A6D3-2CC4-4B02-9900-332495DF66D5,,27,country of citizenship,"""Q55""",Netherlands,"""Q159856""",Duchy of Brabant,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Dutch painter (c. 1450–1516)""","""State of the Holy Roman Empire""","""country in Northwestern Europe with territories in the Caribbean""",property_value_update,
609581132,262500,Gloucester Cathedral,Q262500$d88172b2-4020-ec28-3a63-0745f4de8b3d,,366,has use,"""Q334383""",abbey church,"""Q160742""",abbey,wikibase-entityid,UPDATE,PROPERTY_VALUE,"abbey, Anglican or Episcopal cathedral","""cathedral in England""","""monastery or convent, under the authority of an abbot or an abbess""","""church of an abbey (monastery), seat of an abbot""",link_change,
1246166202,337234,Academia Europaea,Q337234$9330FD1A-BC6F-4901-AD05-00AFC6069BF5,,31,instance of,"""Q414147""",academy of sciences,"""Q162633""",academy,wikibase-entityid,UPDATE,PROPERTY_VALUE,"academy, charitable organization, organization","""pan-European academy""","""institution of higher learning""","""national academy or another learned society dedicated to sciences""",unrefinement,
862199855,193543,avarice,Q193543$59545aa2-4b3c-e2de-1423-9afe1d9f6019,,31,instance of,"""Q60227""",sin,"""Q166502""",seven deadly sins,wikibase-entityid,UPDATE,PROPERTY_VALUE,"absence, money disorder, seven deadly sins, vice","""an inordinate or insatiable longing, especially for wealth, status, and power""","""set of vices in Christian theology and Western philosophy""","""transgression against religious commandments or precepts""",refinement,
955417548,182740,Serbia men's national football team,Q182740$F9F6BBBE-A85C-4FC3-879C-A8C05FF163CE,,286,head coach,"""Q294351""",Siniša Mihajlović,"""Q167398""",Mladen Krstajić,wikibase-entityid,UPDATE,PROPERTY_VALUE,"men's national association football team, national sports team","""men's national association football team representing Serbia""","""Serbian football manager and former footballer""","""Serbian football player and manager (1969–2022)""",property_value_update,
1295452400,419167,basic fuchsine,q419167$0C92D69E-7008-4AC9-B84A-27FD5F181CDF,,31,instance of,"""Q11173""",chemical compound,"""Q169336""",mixture,wikibase-entityid,UPDATE,PROPERTY_VALUE,"aniline dyes, hydrochloride, type of chemical entity","""magenta dye, mixture of chemicals""","""substance formed when two or more constituents are physically combined together""","""pure chemical substance consisting of two or more different chemical elements""",property_value_update,
800008071,184975,Hekla,q184975$74077049-9E16-4EEF-A6B9-6A01471B1D83,,31,instance of,"""Q8072""",volcano,"""Q169358""",stratovolcano,wikibase-entityid,UPDATE,PROPERTY_VALUE,"stratovolcano, volcano","""stratovolcano in southern Iceland""","""tall, conical volcano built up by many layers (strata) of hardened lava""","""natural, surface vent or fissure usually in a mountainous form""",refinement,
1795323285,67488,Christina Schwanitz,Q67488$5e78b330-4417-f86e-69a4-a481d6d440ff,,27,country of citizenship,"""Q183""",Germany,"""Q16957""",German Democratic Republic,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German shot putter""","""1949–1990 country in central Europe, unified into modern Germany""","""country in Central Europe""",property_value_update,
67940347,156353,Placer County,q156353$5E57D37E-BA5A-48F6-BED0-8800BDB219E4,,132,type of administrative division,"""Q47168""",county of the United States,"""Q13212489""",county of California,wikibase-entityid,UPDATE,PROPERTY_VALUE,county of California,"""county in California, United States""","subdivision of California, United States","""subdivision used by most states in the United States of America""",refinement,
1151649956,172050,José Dolhem,q172050$451708D6-DB1B-4E1F-8F1E-A9F340ED6886,,19,place of birth,"""Q90""",Paris,"""Q171689""",12th arrondissement of Paris,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""racecar driver (1944-1988)""","""one of the 20 administrative districts of Paris, France""","""capital city and largest city of France""",refinement,
1858986167,380422,Ignatius IV of Antioch,Q380422$0128bed7-ff34-4ff7-b5f8-c92bc3b357bb,,106,occupation,"""Q42603""",priest,"""Q171692""",patriarch,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Patriarch of Antioch (1920-2012)""","""highest-ranking bishop in Christianity""","""person who consecrates his life to some divinity and whose main functions are to direct religious rites and offer sacrifices to the divinity (for a minister use Q1423891)""",property_value_update,
1036572143,285246,De Havilland Canada,Q285246$CCB12246-A825-4524-97E1-C69EF5EF0664,,159,headquarters location,"""Q118696""",Downsview Airport,"""Q172""",Toronto,wikibase-entityid,UPDATE,PROPERTY_VALUE,aerospace manufacturer,"""Canadian aerospace manufacturer""","""capital and largest city of the province of Ontario, Canada""","""airport""",unrefinement,
77281795,27245,Piute County,q27245$EC9E3B58-4DD0-4900-A308-972695C0BF9F,,132,type of administrative division,"""Q47168""",county of the United States,"""Q13415365""",county of Utah,wikibase-entityid,UPDATE,PROPERTY_VALUE,county of Utah,"""county in south-central Utah, United States""","subdivision of Utah, United States","""subdivision used by most states in the United States of America""",refinement,
415954938,172767,Éric Boullier,Q172767$BA3B9D7C-DAA3-44C3-ACC5-56EBFF914DC4,,108,employer,"""Q173018""",Lotus F1,"""Q172030""",McLaren,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French motor racing engineer and manager""","""British Formula One team""","""former Formula 1 team""",property_value_update,
669244221,138745,Valtteri Bottas,Q138745$2789a1b9-491c-4ca4-452a-4877954b3b07,,54,member of sports team,"""Q171337""",Williams Racing,"""Q172721""",Mercedes F1 Team,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Finnish Formula 1 racing driver""","""auto racing team""","""European Formula One motor racing team and constructor""",property_value_update,
2143738328,70757,Anton Kaindl,Q70757$11e5b076-4fa6-41ee-970d-9351865eb91c,,1399,convicted of,"""Q135010""",war crime,"""Q173462""",crime against humanity,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German SS officer and commandant of the Sachsenhausen concentration camp (1902-1948)""","""grave wrongful act as part of a widespread or systematic attack directed against any civilian population""","""individual act constituting a serious violation of the laws of war""",property_value_update,
2337325602,173490,Ferrari 312B,Q173490$51661d47-4c1f-7d61-e264-a43fcfd3503f,,156,followed by,"""Q173480""",Ferrari 312,"""Q173488""",Ferrari 312,wikibase-entityid,UPDATE,PROPERTY_VALUE,"Formula One car, racing automobile model","""racing automobile""","""racing automobile""","""Formula One car""",link_change,
6154263,301838,Aaron Chorin,q301838$18DCC3D6-A6EF-475B-A163-194FE92D6640,,20,place of death,"""Q179559""",Arad County,"""Q173591""",Arad,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Hungarian rabbi""","""city in Arad County, Romania""","""county in Romania""",refinement,
186144467,113448,Regina Schörg,Q113448$3a89abf6-47b7-6dde-c6fc-d7c67b8c096d,,19,place of birth,"""Q40""",Austria,"""Q1741""",Vienna,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""singer""","""capital of and state in Austria""","""country in Central Europe""",refinement,
2257491730,323760,Gulf of Gabès,Q323760$1cb7bf48-4268-9f90-9475-5c56b6e287bf,,361,part of,"""Q4918""",Mediterranean Sea,"""Q3306208""",Sea of Sicily,wikibase-entityid,UPDATE,PROPERTY_VALUE,gulf,"""bay in Tunisia""",sea,"""sea between Europe, Africa and Asia""",refinement,
711246568,45997,Paul Johnson,Q45997$32B1E84F-322D-440C-B3DC-A661FD0BCB19,,106,occupation,"""Q36180""",writer,"""Q175301""",speechwriter,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""journalist, grand historian and speechwriter from England (1928–2023)""","""person who writes speeches that will be delivered by another person""","""person who uses written words to communicate ideas and to produce literary works""",refinement,
223527434,34002,Sundanese,Q34002$EB20EED0-8979-4700-B236-38A38E2A1A9E,,279,subclass of,"""Q49228""",Austronesian,"""Q1363818""",Malayo-Sumbawan,wikibase-entityid,UPDATE,PROPERTY_VALUE,"Greater North Borneo, language, Malayo-Sumbawan, modern language, natural language, Sundanese-Baduy","""language spoken in Indonesia""",language family,"""large language family mostly of Southeast Asia and the Pacific""",property_value_update,
597241495,4878,Juracán,Q4878$e9fa0c89-4a31-f092-6178-66af8f183ec1,,31,instance of,"""Q82799""",name,"""Q178885""",deity,wikibase-entityid,UPDATE,PROPERTY_VALUE,deity,"""Taino god of storms""","""natural or supernatural god or goddess, divine being""","""word or phrase used for identification""",property_value_update,
991240872,42775,Johnny Cash,Q42775$8625D89F-5E55-4B37-8740-81543101A1F5,,102,member of political party,"""Q29552""",Democratic Party,"""Q180309""",hyphen,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American country singer (1932–2003)""","""punctuation mark used to join words""","""American political party""",property_value_update,
155098670,423600,Abd Allah ibn Abbas,q423600$391F2254-B70D-4EC1-BE0F-DB15AF5E7A11,,20,place of death,"""Q851""",Saudi Arabia,"""Q182640""",Ta'if,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""7th-century Islamic scholar""","""City in Saudi Arabia""","""country in West Asia""",refinement,
205441481,18259,Conca de Dalt,Q18259$adb124c2-4072-3a03-c141-dfe37ab42ef0,,47,shares border with,"""Q227808""",Sala,"""Q18266""",Salàs de Pallars,wikibase-entityid,UPDATE,PROPERTY_VALUE,municipality of Catalonia,"""municipality in Catalonia, Spain""","""municipality in Catalonia, Spain""","""Wikimedia disambiguation page""",property_value_update,
2185826672,329761,Jomei,Q329761$dadd96b4-c174-414d-a069-6db827b77262,,106,occupation,"""Q49757""",poet,"""Q11122954""",waka poet,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Japanese emperor""",Person who composes Waka or Tanka,"""person who writes poetry""",refinement,
1695307434,2607,Erich Honecker,Q2607$4aceb8f2-412f-668f-7fd4-60e107ce3ed1,,27,country of citizenship,"""Q851""",Saudi Arabia,"""Q183""",Germany,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""former leader of East Germany, General Secretary of the Socialist Unity Party (1976-1989)""","""country in Central Europe""","""country in West Asia""",property_value_update,
133682955,114723,Felix and Regula,Q114723$22DF6A39-4B0A-4B48-A7B6-25E4CEB6B37E,,31,instance of,"""Q5""",human,"""Q16334295""",group of humans,wikibase-entityid,UPDATE,PROPERTY_VALUE,"group of humans, sibling duo","""Coptic Orthodox and Roman Catholic saints""",any set of human beings,"""any member of Homo sapiens, unique extant species of the genus Homo""",refinement,
698046171,312861,Philip,Q312861$431085BB-372F-4D74-AA41-BAB073209A40,,140,religion or worldview,"""Q5043""",Christianity,"""Q1841""",Catholicism,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Italian priest, antipope in 768""","""Christian doctrine professed by the Catholic Church""","""Abrahamic monotheistic religion""",property_value_update,
