"pair_id","revision_id","entity_id","entity_label","value_id","property_id","change_target","property_label","old_value","old_value_label","new_value","new_value_label","datatype","action","target","comment","timestamp","label","username"
46,"93966906","174009","Hermione Granger","Q174009$b20a14fc-456a-9868-a0d4-5b28ee677b2a","160","","affiliation","""Q842408""","Gryffindor","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P160]]: [[Q842408]]","2013-12-16 21:17:13+00","property_replacement","Zuphilip"
46,"93951470","174009","Hermione Granger","Q174009$61DE8DB2-27ED-4309-9C45-EC7DCA653143","463","","member of","{}","","""Q842408""","Gryffindor","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */[[Property:P463]]: [[Q842408]]","2013-12-16 20:21:47+00","property_replacement","Zuphilip"
47,"7595465","169598","Honnō-ji Incident","q169598$CB0D98F7-E6EB-4739-B80E-107F37836C77","131","","located in the administrative territorial entity","{}","","""Q34600""","Kyoto","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 15:05:35+00","property_replacement","Magnus Manske"
47,"7595470","169598","Honnō-ji Incident","q169598$C240BC4D-FC14-4BC1-95BC-C13EC31BF4F7","83","","species","""Q34600""","Kyoto","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 15:05:36+00","property_replacement","Magnus Manske"
48,"25877978","801","Israel","q801$F4B5F05A-8A1B-4BA8-9A08-B4662AEE41AC","421","","located in time zone","{}","","""Q6723""","UTC+02:00","wikibase-entityid","CREATE","PROPERTY","","2013-04-16 14:03:15+00","property_replacement","Penn Station"
48,"25371992","801","Israel","q801$518CD7BF-969C-4F8C-8F62-2D2E21F133C8","32","","region","""Q48214""","Near East","{}","","","DELETE","PROPERTY","","2013-04-15 07:50:07+00","property_replacement","אבגד"
49,"142412993","372097","Jacob Tamarkin","Q372097$B0B6B0AD-A918-4FA5-A1DE-07442FBF9DCD","1298","","workplace","""Q2031051""","Perm State University","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1298]]: [[Q2031051]]","2014-07-04 04:28:02+00","property_replacement","Pasleim"
49,"142413016","372097","Jacob Tamarkin","Q372097$53FF761D-5087-4BDF-9662-11A2CFA54F59","937","","work location","{}","","""Q2031051""","Perm State University","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P937]]: [[Q2031051]]","2014-07-04 04:28:14+00","property_replacement","Pasleim"
50,"427310374","390581","Jacques Raymond Brascassat","Q390581$d0ab7a47-405b-5efe-7733-5e224ac3560f","3448","","stepparent","{}","","""Q640709""","Théodore Richard","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P3448]]: [[Q640709]]","2017-01-11 23:54:59+00","property_replacement","Robin van der Vliet"
50,"427310326","390581","Jacques Raymond Brascassat","q390581$0d344052-4c09-532b-5fcd-3e36b4fe4751","43","","stepfather","""Q640709""","Théodore Richard","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P43]]: [[Q640709]]","2017-01-11 23:54:53+00","property_replacement","Robin van der Vliet"
51,"86448927","4027","Jean Moulin University - Lyon 3","q4027$d5a46a94-421b-25dc-bbd1-67c606bf2403","160","","affiliation","""Q868940""","European University Association","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P160]]: [[Q868940]]","2013-11-15 05:07:09+00","property_replacement","Sven Manguard"
51,"86448874","4027","Jean Moulin University - Lyon 3","Q4027$62903295-49c3-0804-1dac-875d16d05f93","463","","member of","{}","","""Q868940""","European University Association","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */[[Property:P463]]: [[Q868940]]","2013-11-15 05:06:40+00","property_replacement","Sven Manguard"
52,"5816030","16597","Jiang Zemin","q16597$175FAF73-D67A-4693-9908-9DC82B8C9AD2","27","","country of citizenship","{}","","""Q148""","People's Republic of China","wikibase-entityid","CREATE","PROPERTY","","2013-02-05 09:48:49+00","property_replacement","Stevenliuyi"
52,"5816029","16597","Jiang Zemin","q16597$DA942C89-67A0-4E41-ABDC-6CD6C4393687","17","","country","""Q148""","People's Republic of China","{}","","","DELETE","PROPERTY","","2013-02-05 09:48:28+00","property_replacement","Stevenliuyi"
53,"427712453","16597","Jiang Zemin","q16597$730d49af-430b-d427-f299-8ec279ccefa9","43","","stepfather","""Q8296718""","Jiang Shangqing","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P43]]: [[Q8296718]]","2017-01-12 12:56:55+00","property_replacement","Robin van der Vliet"
53,"427712500","16597","Jiang Zemin","Q16597$d8269203-4c33-8355-e03a-781f2996f0d9","3448","","stepparent","{}","","""Q8296718""","Jiang Shangqing","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P3448]]: [[Q8296718]]","2017-01-12 12:57:03+00","property_replacement","Robin van der Vliet"
54,"726745411","41264","Johannes Vermeer","Q41264$A82FCD37-116C-4BE6-AD13-B205491D372B","1962","","patron","""Q2615527""","Pieter van Ruijven","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1962]]: [[Q2615527]], перемещено в / moved to [[Property:P859]], см. / see [[Template:Autofix|autofix]] на / on [[Property talk:P1962]]","2018-08-16 00:22:26+00","property_replacement","KrBot"
54,"726745396","41264","Johannes Vermeer","Q41264$F9A03A5F-A749-4992-B474-DE8CD7D764FE","859","","sponsor","{}","","""Q2615527""","Pieter van Ruijven","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P859]]: [[Q2615527]]","2018-08-16 00:22:24+00","property_replacement","KrBot"
55,"10275592","181912","KLM","q181912$4E7A8A0C-9AFD-4EC8-8172-7B83D68D64B2","127","","owned by","{}","","""Q407237""","Air France-KLM","wikibase-entityid","CREATE","PROPERTY","","2013-03-08 18:46:08+00","property_replacement","Zolo"
55,"10275569","181912","KLM","q181912$C444220E-F235-4117-8833-E8D775D8470B","165","","Owner","""Q407237""","Air France-KLM","{}","","","DELETE","PROPERTY","","2013-03-08 18:45:59+00","property_replacement","Zolo"
56,"267451760","29530","Liberty Leading the People","Q29530$589c98d8-430d-07c6-b37f-edd1be11cf99","1684","","inscription","{}","","""Eug. Delacroix 1830""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P1684]]: Eug. Delacroix 1830","2015-11-03 00:08:06+00","property_replacement","Oursana"
56,"267451805","29530","Liberty Leading the People","Q29530$4e5e3484-4c89-d1de-bae2-0b0185b7f0c9","438","","inscription","""Eug. Delacroix 1830""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P438]]: Eug. Delacroix 1830","2015-11-03 00:09:20+00","property_replacement","Oursana"
57,"5842236","615","Lionel Messi","q615$F78A4F6A-0C54-4465-8E26-FC54070662F6","54","","member of sports team","{}","","""Q1187790""","Argentina national under-20 football team","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-02-05 22:39:53+00","property_replacement","Jdforrester"
57,"5842252","615","Lionel Messi","q615$CBEF3E53-4B5B-4159-886A-63393CA4243F","55","","Former member of sports team","""Q2462207""","Argentina national under-23 football team","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-05 22:40:00+00","property_replacement","Jdforrester"
58,"5842243","615","Lionel Messi","q615$52466C7B-8B92-4FA9-88B3-148B440CB73E","55","","Former member of sports team","""Q10467""","FC Barcelona Atlètic","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-05 22:39:57+00","property_replacement","Jdforrester"
58,"5842185","615","Lionel Messi","q615$1C2ACC11-5029-49B2-815A-1B64CFEAE433","54","","member of sports team","{}","","""Q10467""","FC Barcelona Atlètic","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-02-05 22:39:25+00","property_replacement","Jdforrester"
59,"5842248","615","Lionel Messi","q615$8C3C16B9-0D4D-44E0-B75F-936399B8D355","55","","Former member of sports team","""Q2346842""","FC Barcelona C","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-05 22:39:59+00","property_replacement","Jdforrester"
59,"5842197","615","Lionel Messi","q615$DBB4FAC7-2683-4289-AA35-762A57426902","54","","member of sports team","{}","","""Q2346842""","FC Barcelona C","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-02-05 22:39:32+00","property_replacement","Jdforrester"
60,"190734855","23180","Lu Xun Memorial Hall","Q23180$52b6031d-4971-83a0-86d6-e269ce7ff610","1134","","located in place","""Q1142220""","Lu Xun Park","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P1134]]: [[Q1142220]]","2015-01-25 02:48:01+00","property_replacement","Wylve"
60,"190734898","23180","Lu Xun Memorial Hall","Q23180$2d0943e5-4a67-3bb8-287d-9c245b288c33","276","","location","{}","","""Q1142220""","Lu Xun Park","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P276]]: [[Q1142220]]","2015-01-25 02:48:12+00","property_replacement","Wylve"
63,"6389504","60","New York City","q60$F131C437-386F-4257-81D0-DD7D61006E3B","46","","head of national government","""Q607""","Michael Bloomberg","{}","","","DELETE","PROPERTY","","2013-02-13 06:27:38+00","property_replacement","אבגד"
63,"6389521","60","New York City","q60$5A16A954-8C0F-4353-A465-A0CFDE18D27A","6","","head of government","{}","","""Q607""","Michael Bloomberg","wikibase-entityid","CREATE","PROPERTY","","2013-02-13 06:27:53+00","property_replacement","אבגד"
64,"7611672","60","New York City","q60$D004E58B-933D-4D47-810E-2E088355A7D3","11","","state","""Q1384""","New York","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 17:37:31+00","property_replacement","Magnus Manske"
64,"7611664","60","New York City","q60$D856B9DC-396A-4329-A196-0053F3803B90","131","","located in the administrative territorial entity","{}","","""Q1384""","New York","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 17:37:29+00","property_replacement","Magnus Manske"
65,"1676171539","302799","NGC 2506","Q302799$4EB209A9-9DB1-409B-920B-56986898319C","10751","","declination component of proper motion","{}","","""+0.37""","","quantity","CREATE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 22:14:39+00","property_replacement","Twofivesixbot"
65,"1676171539","302799","NGC 2506","Q302799$8d9b7708-7b93-4512-9c95-09a1951fc837","2215","","proper motion","""+0.37""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 22:14:39+00","property_replacement","Twofivesixbot"
66,"1676171539","302799","NGC 2506","Q302799$78d40b4e-2910-48f5-becf-035624f9acb2","2215","","proper motion","""-2.55""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 22:14:39+00","property_replacement","Twofivesixbot"
66,"1676171539","302799","NGC 2506","Q302799$71C06112-C5F6-4A3B-AAE2-EA6CE4AD0E6E","10752","","right ascension component of proper motion","{}","","""-2.55""","","quantity","CREATE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 22:14:39+00","property_replacement","Twofivesixbot"
67,"413777284","116058","Nicolas Théodore de Saussure","Q116058$F11324F1-9AF1-461D-8CF8-5111032DFEB0","9","","sister","""Q2375310""","Albertine Necker de Saussure","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P9]]: [[Q2375310]], #petscan","2016-12-04 03:36:19+00","property_replacement","Jura1"
67,"413765256","116058","Nicolas Théodore de Saussure","Q116058$0E7138F1-E8F6-4802-AA87-D05617236C2D","3373","","sibling","{}","","""Q2375310""","Albertine Necker de Saussure","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim-create:1| */ [[Property:P3373]]: [[Q2375310]], #quickstatements","2016-12-04 02:57:02+00","property_replacement","Jura1"
68,"97804116","148880","Nymphaea caerulea","Q148880$0a25b9f8-4f01-60de-ec5e-c5ecb8a0bf2c","171","","parent taxon","{}","","""Q146628""","Nymphaea","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */[[Property:P171]]: [[Q146628]]","2014-01-02 12:53:39+00","property_replacement","Succu"
68,"97804076","148880","Nymphaea caerulea","q148880$D26F35D4-2071-43AF-9D05-AA99518D992B","74","","genus","""Q146628""","Nymphaea","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P74]]: [[Q146628]]","2014-01-02 12:53:28+00","property_replacement","Succu"
69,"86449209","8442","Otto von Bismarck","q8442$9320E2F2-D0BE-4C9C-9911-9EA3338D45AE","160","","affiliation","""Q317010""","Corps Hannovera Göttingen","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P160]]: [[Q317010]]","2013-11-15 05:09:42+00","property_replacement","Sven Manguard"
69,"86449185","8442","Otto von Bismarck","Q8442$6aff2a0a-4f4c-088d-8c55-09d8a9d71b17","463","","member of","{}","","""Q317010""","Corps Hannovera Göttingen","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */[[Property:P463]]: [[Q317010]]","2013-11-15 05:09:29+00","property_replacement","Sven Manguard"
70,"1107151264","83382","Pentium III","Q83382$5148708f-4611-7e29-a0f7-c0e823255f7d","2157","","lithography","""Q1050773""","250 nm lithography process","{}","","","DELETE","PROPERTY","/* wbremoveclaims-update:0| */ Copied to P2079","2020-01-31 06:09:05+00","property_replacement","BotAdventures"
70,"1107151249","83382","Pentium III","Q83382$1CC7CBB8-3574-40A3-A1C1-9E0B4C1387B0","2079","","fabrication method","{}","","""Q1050773""","250 nm lithography process","wikibase-entityid","CREATE","PROPERTY","/* wbeditentity-update:0| */ Copy P2157 to P2079","2020-01-31 06:09:04+00","property_replacement","BotAdventures"
71,"7686041","54936","Province of Alicante","q54936$0D74BCD8-0F14-42B1-95DA-2122CBA421AC","131","","located in the administrative territorial entity","{}","","""Q5720""","Valencian Community","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-25 09:07:27+00","property_replacement","Kokoo"
71,"7686023","54936","Province of Alicante","q54936$8D124BEC-0D68-4DB7-BA2C-81836C91C1E3","32","","region","""Q5720""","Valencian Community","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-25 09:07:07+00","property_replacement","Kokoo"
72,"5816667","10132","Rafael Nadal","q10132$31B979EC-BCBE-43FD-B8AC-939DBA2CE126","27","","country of citizenship","{}","","""Q29""","Spain","wikibase-entityid","CREATE","PROPERTY","","2013-02-05 10:48:33+00","property_replacement","Stryn"
72,"5816664","10132","Rafael Nadal","q10132$57815A40-8ABF-4C12-82A0-A7C81099EA47","17","","country","""Q29""","Spain","{}","","","DELETE","PROPERTY","","2013-02-05 10:48:23+00","property_replacement","Stryn"
73,"7263597","647","Rennes","q647$F827753F-4CF9-4100-87C1-98BBBF1F3FE0","93","","department","""Q12549""","Ille-et-Vilaine","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-21 15:20:57+00","property_replacement","Goldzahn"
73,"7263621","647","Rennes","q647$441F47CC-EE7A-4D50-BA2A-54ABD066D96C","131","","located in the administrative territorial entity","{}","","""Q12549""","Ille-et-Vilaine","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-21 15:21:14+00","property_replacement","Goldzahn"
74,"10466611","321007","RMS Olympic","q321007$46D12A13-FD49-42C2-A0F3-51886EB68742","165","","Owner","""Q320466""","White Star Line","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-03-09 08:52:44+00","property_replacement","Zolo"
74,"10466561","321007","RMS Olympic","q321007$6000F955-D3A0-47FD-9080-925FF877BE82","127","","owned by","{}","","""Q320466""","White Star Line","wikibase-entityid","CREATE","PROPERTY","","2013-03-09 08:52:21+00","property_replacement","Zolo"
75,"10466594","321007","RMS Olympic","q321007$72E7E2BD-6567-4623-A3C4-332E47810D93","127","","owned by","{}","","""Q730587""","Cunard Line","wikibase-entityid","CREATE","PROPERTY_VALUE","","2013-03-09 08:52:36+00","property_replacement","Zolo"
75,"10466621","321007","RMS Olympic","q321007$77643A27-F358-4ACE-B726-BA6B0EB2097E","165","","Owner","""Q730587""","Cunard Line","{}","","","DELETE","PROPERTY","","2013-03-09 08:52:49+00","property_replacement","Zolo"
76,"7264061","220","Rome","q220$06AE7555-9EED-436B-ADDD-0C1AAF7E626E","12","","province","""Q15119""","Province of Rome","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-21 15:26:40+00","property_replacement","Zolo"
76,"7264106","220","Rome","q220$718CF014-9A0C-472F-81A4-15848FDC5C97","131","","located in the administrative territorial entity","{}","","""Q15119""","Province of Rome","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-21 15:27:14+00","property_replacement","Zolo"
77,"210682505","149936","Rozhlad","Q149936$f4b3b0f1-45c4-f882-20d6-b6db9fa81a6d","1680","","subtitle","{}","","""Serbski kulturny časopis""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P1680]]: Serbski kulturny časopis","2015-04-13 23:21:53+00","property_replacement","Pasleim"
77,"210682513","149936","Rozhlad","Q149936$3e4d7cbb-4deb-0314-b503-8a1be1f38288","392","","subtitle","""Serbski kulturny časopis""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P392]]: Serbski kulturny časopis","2015-04-13 23:21:55+00","property_replacement","Pasleim"
78,"185323895","2554","Seawise Giant","q2554$e6ff2847-4db1-44e2-1246-3431865b48f9","198","","ship builder","""Q1808912""","Sumitomo Heavy Industries","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P198]]: [[Q1808912]]","2015-01-01 15:18:14+00","property_replacement","PLbot"
78,"185323889","2554","Seawise Giant","Q2554$0DC1FF77-429D-4008-A0C9-981DE828EB45","176","","manufacturer","{}","","""Q1808912""","Sumitomo Heavy Industries","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P176]]: [[Q1808912]]","2015-01-01 15:18:13+00","property_replacement","PLbot"
80,"210400722","454831","Siegessäule","Q454831$aed04652-458f-dcf1-5780-9975bb00a6c9","392","","subtitle","""Berlins Monatsblatt für Schwule""","","{}","","string","DELETE","PROPERTY_VALUE","/* wbremoveclaims-remove:1| */ [[Property:P392]]: Berlins Monatsblatt für Schwule","2015-04-12 17:24:35+00","property_replacement","Pasleim"
79,"210400739","454831","Siegessäule","Q454831$cfaf7ce6-4d5d-4b10-2741-6f2e2ed9f426","392","","subtitle","""queer in Berlin""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P392]]: queer in Berlin","2015-04-12 17:24:39+00","property_replacement","Pasleim"
80,"210395189","454831","Siegessäule","Q454831$9E1F06A8-7207-4DBB-8B6B-FAD4A764EC4A","1680","","subtitle","{}","","""Berlins Monatsblatt für Schwule""","","monolingualtext","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P1680]]: Berlins Monatsblatt für Schwule","2015-04-12 16:58:27+00","property_replacement","PLbot"
79,"210400703","454831","Siegessäule","Q454831$da032554-422c-1798-4d90-d595bc25724c","1680","","subtitle","{}","","""queer in Berlin""","","monolingualtext","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:2||1 */ [[Property:P1680]]: queer in Berlin","2015-04-12 17:24:30+00","property_replacement","Pasleim"
81,"209977512","37462","Skinnskatteberg Municipality","q37462$89942c94-4835-722f-0c28-90baef7f428b","743","","short name","""Skinnskatteberg""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ Bot: Replace short name with [[Property:P1813]]","2015-04-11 05:39:26+00","property_replacement","JWbot"
81,"209977512","37462","Skinnskatteberg Municipality","Q37462$948F55E2-960F-462F-BBCD-C237FD2BBE40","1813","","short name","{}","","""Skinnskatteberg""","","monolingualtext","CREATE","PROPERTY","/* wbeditentity-update:0| */ Bot: Replace short name with [[Property:P1813]]","2015-04-11 05:39:26+00","property_replacement","JWbot"
82,"10273416","8988","Southampton Airport","q8988$402C1C65-08B2-4FDF-90D4-0561D0B1BCA1","127","","owned by","{}","","""Q795363""","Heathrow Airport Holdings Limited","wikibase-entityid","CREATE","PROPERTY","","2013-03-08 18:29:40+00","property_replacement","Zolo"
82,"10273401","8988","Southampton Airport","q8988$F31276C0-DC03-4B9D-B37C-4D24D6D03268","165","","Owner","""Q795363""","Heathrow Airport Holdings Limited","{}","","","DELETE","PROPERTY","","2013-03-08 18:29:32+00","property_replacement","Zolo"
83,"82612991","193735","swimming at the 2012 Summer Olympics","q193735$53687a8a-4560-e33e-03e0-487dfb794413","540","","venue","""Q123738""","Hyde Park","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P540]]: [[Q123738]]","2013-10-29 22:45:46+00","property_replacement","Pasleim"
83,"82612961","193735","swimming at the 2012 Summer Olympics","Q193735$3c6b0f6a-4270-c0be-6ea1-d1319682bba4","766","","event location","{}","","""Q123738""","Hyde Park","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:1||1 */[[Property:P766]]: [[Q123738]]","2013-10-29 22:45:35+00","property_replacement","Pasleim"
84,"92499286","15570","The Chinese University of Hong Kong","q15570$6571cc0d-412a-dc62-776e-433752c50e1b","160","","affiliation","""Q4810071""","Association of Southeast Asian Institutions of Higher Learning","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","/* wbremoveclaims-remove:1| */[[Property:P160]]: [[Q4810071]]","2013-12-10 09:44:06+00","property_replacement","Zolo"
84,"92499293","15570","The Chinese University of Hong Kong","Q15570$ba70b1b4-41f0-2567-c5af-bac09c5dd654","463","","member of","{}","","""Q4810071""","Association of Southeast Asian Institutions of Higher Learning","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:1||1 */[[Property:P463]]: [[Q4810071]]","2013-12-10 09:44:12+00","property_replacement","Zolo"
85,"227206500","158023","The White Ribbon","Q158023$8db15248-4021-47b4-8d82-0c195ea7c855","1476","","title","{}","","""Das weiße Band – Eine deutsche Kindergeschichte""","","monolingualtext","CREATE","PROPERTY","/* wbsetclaim-create:2||1 */ [[Property:P1476]]: Das weiße Band – Eine deutsche Kindergeschichte","2015-07-07 14:16:38+00","property_replacement",""
85,"227206531","158023","The White Ribbon","Q158023$8cfc9f60-40ab-e67d-27b1-e70c996f5b74","357","","title","""Das weiße Band – Eine deutsche Kindergeschichte""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P357]]: Das weiße Band – Eine deutsche Kindergeschichte","2015-07-07 14:16:45+00","property_replacement",""
86,"90867878","47566","United States presidential election","q47566$862E121B-97BB-43BD-91F7-2E133AA4ACDB","173","","type of election","""Q858439""","presidential election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P173]]: [[Q858439]]","2013-11-30 22:40:59+00","property_replacement","Arctic.gnome"
86,"90867870","47566","United States presidential election","Q47566$b85b7047-4412-06e0-af88-3f88c5f0cfcf","279","","subclass of","{}","","""Q858439""","presidential election","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */[[Property:P279]]: [[Q858439]]","2013-11-30 22:40:57+00","property_replacement","Arctic.gnome"
87,"851056199","117251","University of Charleston","Q117251$B793267D-C5E1-4862-9F39-4FE52D0F02C9","969","","street address","""2300 MacCorkle Avenue,  SE, Charleston, WV, 25304""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */","2019-02-05 00:16:07+00","property_replacement","Fralambert"
87,"851056199","117251","University of Charleston","Q117251$2449D847-9E26-4349-AE3B-043852E0F062","6375","","street address","{}","","""2300 MacCorkle Avenue,  SE, Charleston, WV, 25304""","","monolingualtext","CREATE","PROPERTY","/* wbeditentity-update:0| */","2019-02-05 00:16:07+00","property_replacement","Fralambert"
88,"86449431","10176","University of Lyon","q10176$2b8ac672-4762-011e-cff4-c8152a86ab8e","160","","affiliation","""Q3304068""","","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */[[Property:P160]]: [[Q3304068]]","2013-11-15 05:11:56+00","property_replacement","Sven Manguard"
88,"86449444","10176","University of Lyon","Q10176$bb2e502b-4c27-defc-e40e-8b100834a557","463","","member of","{}","","""Q3304068""","","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */[[Property:P463]]: [[Q3304068]]","2013-11-15 05:12:05+00","property_replacement","Sven Manguard"
89,"7595491","204181","University of Tartu","q204181$6C377EEC-5258-42D9-89AC-05A14EB37C78","131","","located in the administrative territorial entity","{}","","""Q13972""","Tartu","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 15:05:44+00","property_replacement","Magnus Manske"
89,"7595499","204181","University of Tartu","q204181$4AF5D908-41BA-4F6F-93B6-A6FE3516D4B1","83","","city","""Q13972""","Tartu","{}","","","DELETE","PROPERTY","/* wbremoveclaims:1 */","2013-02-24 15:05:46+00","property_replacement","Magnus Manske"
90,"1676157850","32883","Ursa Minor Dwarf","Q32883$543524f0-cae2-4d25-ba47-f021275a4b0a","2215","","proper motion","""+0.074""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 21:48:41+00","property_replacement","Twofivesixbot"
91,"1676157850","32883","Ursa Minor Dwarf","Q32883$aacaae2a-7c16-4560-8a9e-cec2cbda9e9e","2215","","proper motion","""+0.056""","","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 21:48:41+00","property_replacement","Twofivesixbot"
90,"1676157850","32883","Ursa Minor Dwarf","Q32883$700F6183-2843-42EF-A99C-13B72BF54905","10751","","declination component of proper motion","{}","","""+0.074""","","quantity","CREATE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 21:48:41+00","property_replacement","Twofivesixbot"
91,"1676157850","32883","Ursa Minor Dwarf","Q32883$DBE0CE6A-5648-45B9-9D2F-25565C289260","10752","","right ascension component of proper motion","{}","","""+0.056""","","quantity","CREATE","PROPERTY","/* wbeditentity-update:0| */ mv P2215 values to P10751/P10752","2022-07-12 21:48:41+00","property_replacement","Twofivesixbot"
92,"5910760","77","Uruguay","q77$6DEEA34E-705A-49B8-A80C-1E8064679BA2","35","","head of state","{}","","""Q9094""","José Mujica","wikibase-entityid","CREATE","PROPERTY","","2013-02-06 16:56:24+00","property_replacement","Santga"
92,"5910749","77","Uruguay","q77$1CB1FFA3-F3D6-4CA9-8AFB-D2FA9ED0AF95","46","","head of national government","""Q9094""","José Mujica","{}","","","DELETE","PROPERTY","","2013-02-06 16:56:01+00","property_replacement","Santga"
93,"838942466","340350","Visborg","Q340350$6E9DA54F-B420-4A60-8D77-B88D1964F4C3","706","","located in/on physical feature","{}","","""Q1027830""","Gotland","wikibase-entityid","CREATE","PROPERTY","/* wbeditentity-update:0| */ move claim [[Property:P5130]] -> [[Property:P706]]","2019-01-21 14:13:23+00","property_replacement","PLbot"
93,"838942466","340350","Visborg","Q340350$E518796C-4F1E-48EB-896D-F7CA656932ED","5130","","landmass","""Q1027830""","Gotland","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ move claim [[Property:P5130]] -> [[Property:P706]]","2019-01-21 14:13:23+00","property_replacement","PLbot"
94,"6189283","7747","Vladimir Putin","q7747$CFB2C515-6A8A-4168-9FA6-B2241CDC6206","62","","image","""Vladimir Putin 12015.jpg""","","{}","","","DELETE","PROPERTY","","2013-02-10 11:33:35+00","property_replacement","ThorstenX1"
